"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"1676TH",0,1,624,0.534583261507753,2018-12-30 05:36:38,5,"53A-1676TH-0"
"1676TH",1,1,625,0.57865475030388,2018-12-30 05:37:45,0,"53A-1676TH-0"
"1676TH",2,1,626,0.613988444807691,2018-12-30 05:38:32,0,"53A-1676TH-0"
"1676TH",3,1,627,0.646653658211705,2018-12-30 05:39:12,0,"53A-1676TH-0"
"1676TH",4,1,628,0.661363354605513,2018-12-30 05:40:12,0,"53A-1676TH-0"
"1676TH",5,1,629,0.697055739667531,2018-12-30 05:40:48,0,"53A-1676TH-0"
"1676TH",6,1,630,0.716932743853024,2018-12-30 05:41:09,0,"53A-1676TH-0"
"1676TH",7,1,631,0.750429629879542,2018-12-30 05:41:49,0,"53A-1676TH-0"
"1676TH",8,1,632,0.792227277456999,2018-12-30 05:42:33,0,"53A-1676TH-0"
"1676TH",9,1,633,0.822417377167311,2018-12-30 05:43:03,0,"53A-1676TH-0"
"1676TH",10,1,634,0.836692075737392,2018-12-30 05:43:15,0,"53A-1676TH-0"
"1676TH",11,1,635,0.867426389970994,2018-12-30 05:43:54,0,"53A-1676TH-0"
"1676TH",12,1,636,0.916393109498252,2018-12-30 05:44:49,0,"53A-1676TH-0"
"1676TH",13,1,637,0.951166113588496,2018-12-30 05:45:32,0,"53A-1676TH-0"
"1676TH",14,1,638,0.976064509746199,2018-12-30 05:45:47,0,"53A-1676TH-0"
"1676TH",15,1,639,0.9997526715405,2018-12-30 05:46:05,0,"53A-1676TH-0"
"1676TH",16,0,581,0,2018-12-30 05:46:09,0,"53A-1676TH-1"
"1676TH",17,0,582,0.0277933531603601,2018-12-30 05:52:41,0,"53A-1676TH-1"
"1676TH",18,0,583,0.0478655626924459,2018-12-30 05:53:22,0,"53A-1676TH-1"
"1677TH",0,1,624,0.534583261507753,2018-12-30 05:54:15,5,"53A-1677TH-0"
"1676TH",19,0,584,0.0905133404024285,2018-12-30 05:54:44,1,"53A-1676TH-1"
"1677TH",1,1,625,0.57865475030388,2018-12-30 05:55:38,0,"53A-1677TH-0"
"1676TH",20,0,585,0.131432738320303,2018-12-30 05:55:50,1,"53A-1676TH-1"
"1677TH",2,1,626,0.613988444807691,2018-12-30 05:56:59,0,"53A-1677TH-0"
"1676TH",21,0,586,0.150345576559304,2018-12-30 05:57:04,4,"53A-1676TH-1"
"1677TH",3,1,627,0.646653658211705,2018-12-30 05:58:03,0,"53A-1677TH-0"
"1676TH",22,0,587,0.180026941254668,2018-12-30 05:58:14,3,"53A-1676TH-1"
"1676TH",23,0,588,0.199647439157132,2018-12-30 05:58:36,0,"53A-1676TH-1"
"1677TH",4,1,628,0.661363354605513,2018-12-30 05:59:15,1,"53A-1677TH-0"
"1676TH",24,0,589,0.212241876376867,2018-12-30 05:59:16,1,"53A-1676TH-1"
"1677TH",5,1,629,0.697055739667531,2018-12-30 06:00:18,0,"53A-1677TH-0"
"1677TH",6,1,630,0.716932743853024,2018-12-30 06:00:59,0,"53A-1677TH-0"
"1676TH",25,0,590,0.247936630804854,2018-12-30 06:01:12,9,"53A-1676TH-1"
"1677TH",7,1,631,0.750429629879542,2018-12-30 06:02:25,1,"53A-1677TH-0"
"1676TH",26,0,591,0.27568910775833,2018-12-30 06:02:27,4,"53A-1676TH-1"
"1676TH",27,0,592,0.303546717999246,2018-12-30 06:03:30,0,"53A-1676TH-1"
"1677TH",8,1,632,0.792227277456999,2018-12-30 06:03:41,0,"53A-1677TH-0"
"1677TH",9,1,633,0.822417377167311,2018-12-30 06:04:52,0,"53A-1677TH-0"
"1676TH",28,0,593,0.330339619731935,2018-12-30 06:05:04,1,"53A-1676TH-1"
"1677TH",10,1,634,0.836692075737392,2018-12-30 06:05:18,0,"53A-1677TH-0"
"1676TH",29,0,594,0.353042026482814,2018-12-30 06:06:18,0,"53A-1676TH-1"
"1677TH",11,1,635,0.867426389970994,2018-12-30 06:06:36,1,"53A-1677TH-0"
"1676TH",30,0,595,0.382218362558675,2018-12-30 06:07:21,2,"53A-1676TH-1"
"1677TH",12,1,636,0.916393109498252,2018-12-30 06:08:16,0,"53A-1677TH-0"
"1676TH",31,0,596,0.419525325172209,2018-12-30 06:08:33,1,"53A-1676TH-1"
"1677TH",13,1,637,0.951166113588496,2018-12-30 06:09:12,0,"53A-1677TH-0"
"1676TH",32,0,597,0.46842518672297,2018-12-30 06:09:51,0,"53A-1676TH-1"
"1677TH",14,1,638,0.976064509746199,2018-12-30 06:10:00,0,"53A-1677TH-0"
"1677TH",15,1,639,0.9997526715405,2018-12-30 06:10:26,0,"53A-1677TH-0"
"1677TH",16,0,581,0,2018-12-30 06:10:34,0,"53A-1677TH-1"
"1676TH",33,0,598,0.49080474825121,2018-12-30 06:10:41,0,"53A-1676TH-1"
"1676TH",34,0,599,0.505955643506436,2018-12-30 06:11:22,0,"53A-1676TH-1"
"1676TH",35,0,600,0.533187881045543,2018-12-30 06:12:59,0,"53A-1676TH-1"
"1678TH",0,1,625,0.57865475030388,2018-12-30 06:14:12,0,"53A-1678TH-0"
"1676TH",36,0,601,0.584801297549189,2018-12-30 06:14:50,0,"53A-1676TH-1"
"1678TH",1,1,626,0.613988444807691,2018-12-30 06:16:05,1,"53A-1678TH-0"
"1676TH",37,0,602,0.624291894632294,2018-12-30 06:16:18,1,"53A-1676TH-1"
"1678TH",2,1,627,0.646653658211705,2018-12-30 06:17:05,4,"53A-1678TH-0"
"1676TH",38,0,603,0.662185613658879,2018-12-30 06:17:36,0,"53A-1676TH-1"
"1678TH",3,1,628,0.661363354605513,2018-12-30 06:18:34,0,"53A-1678TH-0"
"1677TH",17,0,582,0.0277933531603601,2018-12-30 06:19:19,1,"53A-1677TH-1"
"1676TH",39,0,604,0.72450095762779,2018-12-30 06:19:33,1,"53A-1676TH-1"
"1678TH",4,1,629,0.697055739667531,2018-12-30 06:19:44,0,"53A-1678TH-0"
"1677TH",18,0,583,0.0478655626924459,2018-12-30 06:19:46,0,"53A-1677TH-1"
"1677TH",19,0,584,0.0905133404024285,2018-12-30 06:20:45,0,"53A-1677TH-1"
"1676TH",40,0,605,0.756451241285734,2018-12-30 06:20:55,0,"53A-1676TH-1"
"1677TH",20,0,585,0.131432738320303,2018-12-30 06:21:47,0,"53A-1677TH-1"
"1678TH",5,1,630,0.716932743853024,2018-12-30 06:22:02,0,"53A-1678TH-0"
"1676TH",41,0,606,0.788738905316075,2018-12-30 06:22:16,0,"53A-1676TH-1"
