"datetime","vehicle","kind","lon","lat","on_route"
2018-11-13 04:59:14,"1063",1,NA,NA,0
2018-11-13 04:59:41,"1063",25,NA,NA,0
2018-11-13 04:59:41,"1063",27,NA,NA,0
2018-11-13 04:59:41,"1063",24,NA,NA,0
2018-11-13 04:59:41,"1063",28,NA,NA,0
2018-11-13 05:08:35,"1187",1,NA,NA,0
2018-11-13 05:09:07,"1187",27,NA,NA,0
2018-11-13 05:09:07,"1187",28,NA,NA,0
2018-11-13 05:09:07,"1187",25,NA,NA,0
2018-11-13 05:09:07,"1187",24,NA,NA,0
2018-11-13 05:20:24,"1187",14,NA,NA,0
2018-11-13 05:29:46,"1067",1,NA,NA,0
2018-11-13 05:31:00,"1067",28,NA,NA,0
2018-11-13 05:31:00,"1067",24,NA,NA,0
2018-11-13 05:31:00,"1067",25,NA,NA,0
2018-11-13 05:31:00,"1067",27,NA,NA,0
2018-11-13 05:34:50,"1067",27,NA,NA,0
2018-11-13 05:34:50,"1067",1,NA,NA,0
2018-11-13 05:34:50,"1067",24,NA,NA,0
2018-11-13 05:34:50,"1067",28,NA,NA,0
2018-11-13 05:34:50,"1067",25,NA,NA,0
2018-11-13 05:41:39,"1187",14,NA,NA,0
2018-11-13 05:42:34,"1187",14,NA,NA,0
2018-11-13 05:42:53,"1187",14,NA,NA,0
2018-11-13 05:49:46,"1205",1,NA,NA,0
2018-11-13 05:50:29,"1205",25,NA,NA,0
2018-11-13 05:50:29,"1205",24,NA,NA,0
2018-11-13 05:50:29,"1205",28,NA,NA,0
2018-11-13 05:50:29,"1205",27,NA,NA,0
2018-11-13 05:59:52,"1296",1,NA,NA,0
2018-11-13 06:00:58,"1296",25,NA,NA,0
2018-11-13 06:00:58,"1296",27,NA,NA,0
2018-11-13 06:00:58,"1296",28,NA,NA,0
2018-11-13 06:00:58,"1296",24,NA,NA,0
2018-11-13 06:01:15,"2019",1,NA,NA,0
2018-11-13 06:01:31,"1187",14,NA,NA,0
2018-11-13 06:01:42,"1187",14,NA,NA,0
2018-11-13 06:01:43,"1187",14,NA,NA,0
2018-11-13 06:01:50,"2019",24,NA,NA,0
2018-11-13 06:01:50,"2019",28,NA,NA,0
2018-11-13 06:01:50,"2019",27,NA,NA,0
2018-11-13 06:02:48,"1187",14,NA,NA,0
2018-11-13 06:03:04,"1296",24,NA,NA,0
2018-11-13 06:03:04,"1296",25,NA,NA,0
2018-11-13 06:03:04,"1296",28,NA,NA,0
2018-11-13 06:03:04,"1296",27,NA,NA,0
2018-11-13 06:03:04,"1296",1,NA,NA,0
2018-11-13 06:03:39,"1187",14,NA,NA,0
2018-11-13 06:04:58,"1187",14,NA,NA,0
2018-11-13 06:05:16,"1187",14,NA,NA,0
2018-11-13 06:05:36,"1187",14,NA,NA,0
2018-11-13 06:05:46,"1187",14,NA,NA,0
2018-11-13 06:06:00,"1187",14,NA,NA,0
2018-11-13 06:11:05,"1187",14,NA,NA,0
2018-11-13 06:12:21,"1296",14,NA,NA,0
2018-11-13 06:14:33,"1187",14,NA,NA,0
2018-11-13 06:15:24,"2019",24,NA,NA,0
2018-11-13 06:15:24,"2019",27,NA,NA,0
2018-11-13 06:15:24,"2019",28,NA,NA,0
2018-11-13 06:15:24,"2019",25,NA,NA,0
2018-11-13 06:15:24,"2019",1,NA,NA,0
2018-11-13 06:17:56,"2019",26,NA,NA,0
2018-11-13 06:20:12,"1296",14,NA,NA,0
2018-11-13 06:20:34,"1296",14,NA,NA,0
2018-11-13 06:21:49,"1296",14,NA,NA,0
2018-11-13 06:22:14,"2019",25,NA,NA,0
2018-11-13 06:22:16,"2019",14,NA,NA,0
2018-11-13 06:22:57,"1296",14,NA,NA,0
2018-11-13 06:24:38,"1187",14,NA,NA,0
2018-11-13 06:26:21,"1187",14,NA,NA,0
2018-11-13 06:30:37,"1063",14,NA,NA,0
2018-11-13 06:30:46,"1296",14,NA,NA,0
2018-11-13 06:32:34,"1296",14,NA,NA,0
2018-11-13 06:32:45,"1296",14,NA,NA,0
2018-11-13 06:38:02,"1296",14,NA,NA,0
2018-11-13 06:38:12,"1296",14,NA,NA,0
2018-11-13 06:38:21,"1296",14,NA,NA,0
2018-11-13 06:38:33,"1063",14,NA,NA,0
2018-11-13 06:39:02,"1296",14,NA,NA,0
2018-11-13 06:39:14,"1296",14,NA,NA,0
2018-11-13 06:39:28,"1296",14,NA,NA,0
2018-11-13 06:40:16,"1063",14,28.6453056335449,50.2766342163086,1
2018-11-13 06:40:22,"1063",14,28.6453056335449,50.2766342163086,1
2018-11-13 06:41:10,"1205",14,28.7030048370361,50.2594451904297,0
2018-11-13 06:41:23,"093",1,NA,NA,0
2018-11-13 06:41:27,"1205",14,NA,NA,0
2018-11-13 06:41:29,"1205",14,NA,NA,0
2018-11-13 06:42:12,"093",25,NA,NA,0
2018-11-13 06:42:12,"093",27,NA,NA,0
2018-11-13 06:42:12,"093",28,NA,NA,0
2018-11-13 06:42:12,"093",24,NA,NA,0
2018-11-13 06:50:55,"1296",14,NA,NA,0
2018-11-13 06:51:15,"1296",14,NA,NA,0
2018-11-13 06:52:41,"1205",17,NA,NA,0
2018-11-13 06:52:55,"1296",14,NA,NA,0
2018-11-13 06:53:06,"1296",14,NA,NA,0
2018-11-13 06:53:13,"1205",14,NA,NA,0
2018-11-13 06:53:15,"1205",14,NA,NA,0
2018-11-13 06:53:18,"1296",14,NA,NA,0
2018-11-13 06:53:29,"1296",14,NA,NA,0
2018-11-13 06:53:35,"1296",14,NA,NA,0
2018-11-13 06:53:46,"1296",14,NA,NA,0
2018-11-13 06:53:52,"1296",14,NA,NA,0
2018-11-13 06:53:59,"1296",14,NA,NA,0
2018-11-13 06:54:00,"1296",14,NA,NA,0
2018-11-13 06:54:11,"1296",14,NA,NA,0
2018-11-13 06:54:19,"1296",14,NA,NA,0
2018-11-13 06:54:27,"1296",14,NA,NA,0
2018-11-13 06:54:28,"093",14,NA,NA,0
2018-11-13 06:54:39,"093",14,NA,NA,0
2018-11-13 06:54:46,"1296",14,NA,NA,0
2018-11-13 06:54:48,"1187",14,NA,NA,0
2018-11-13 06:54:53,"1187",14,NA,NA,0
2018-11-13 06:55:10,"1187",14,NA,NA,0
2018-11-13 06:56:31,"1296",14,NA,NA,0
2018-11-13 06:56:44,"1296",14,NA,NA,0
2018-11-13 06:56:52,"1296",14,NA,NA,0
2018-11-13 06:57:02,"1296",14,NA,NA,0
2018-11-13 06:57:11,"1296",14,NA,NA,0
2018-11-13 06:58:05,"1296",14,NA,NA,0
2018-11-13 06:58:13,"1296",14,NA,NA,0
2018-11-13 06:58:36,"1296",14,NA,NA,0
2018-11-13 06:58:44,"093",14,NA,NA,0
2018-11-13 06:59:17,"1205",14,NA,NA,0
2018-11-13 06:59:43,"1187",14,28.7276191711426,50.250301361084,1
2018-11-13 06:59:50,"1205",14,NA,NA,0
2018-11-13 07:00:33,"1296",17,NA,NA,0
2018-11-13 07:00:39,"1296",14,NA,NA,0
2018-11-13 07:00:59,"1205",14,NA,NA,0
2018-11-13 07:00:59,"1296",14,NA,NA,0
2018-11-13 07:01:22,"1296",14,NA,NA,0
2018-11-13 07:01:49,"1205",14,NA,NA,0
2018-11-13 07:01:53,"1296",14,NA,NA,0
2018-11-13 07:01:57,"1296",17,NA,NA,0
2018-11-13 07:02:02,"1296",14,NA,NA,0
2018-11-13 07:02:09,"1296",14,NA,NA,0
2018-11-13 07:02:16,"093",14,NA,NA,0
2018-11-13 07:02:19,"1296",14,NA,NA,0
2018-11-13 07:02:28,"093",14,NA,NA,0
2018-11-13 07:02:35,"093",14,NA,NA,0
2018-11-13 07:02:57,"1205",14,NA,NA,0
2018-11-13 07:03:39,"1296",16,NA,NA,0
2018-11-13 07:03:48,"1296",14,NA,NA,0
2018-11-13 07:04:07,"1296",14,NA,NA,0
2018-11-13 07:04:20,"1296",14,NA,NA,0
2018-11-13 07:04:57,"1296",14,NA,NA,0
2018-11-13 07:05:08,"1205",14,NA,NA,0
2018-11-13 07:05:21,"1296",14,NA,NA,0
2018-11-13 07:05:31,"1296",14,NA,NA,0
2018-11-13 07:05:47,"1296",14,NA,NA,0
2018-11-13 07:05:49,"1205",14,NA,NA,0
2018-11-13 07:06:00,"1296",14,NA,NA,0
2018-11-13 07:06:07,"1296",14,NA,NA,0
2018-11-13 07:06:16,"1296",14,NA,NA,0
2018-11-13 07:09:25,"1296",14,NA,NA,0
2018-11-13 07:09:31,"1205",14,NA,NA,0
2018-11-13 07:09:37,"1296",14,NA,NA,0
2018-11-13 07:09:39,"1205",14,NA,NA,0
2018-11-13 07:09:54,"1296",14,NA,NA,0
2018-11-13 07:10:23,"1187",14,NA,NA,0
2018-11-13 07:10:25,"1187",14,NA,NA,0
2018-11-13 07:10:40,"1187",14,NA,NA,0
2018-11-13 07:10:47,"1187",14,NA,NA,0
2018-11-13 07:10:50,"1296",14,NA,NA,0
2018-11-13 07:10:59,"1296",14,NA,NA,0
2018-11-13 07:11:19,"1296",14,NA,NA,0
2018-11-13 07:11:31,"1187",14,NA,NA,0
2018-11-13 07:11:33,"1187",14,NA,NA,0
2018-11-13 07:11:43,"1187",14,NA,NA,0
2018-11-13 07:11:47,"1296",14,NA,NA,0
2018-11-13 07:11:55,"1187",14,NA,NA,0
2018-11-13 07:12:02,"1187",14,NA,NA,0
2018-11-13 07:12:19,"1296",14,NA,NA,0
2018-11-13 07:12:43,"1296",14,NA,NA,0
2018-11-13 07:12:57,"1187",14,NA,NA,0
2018-11-13 07:13:22,"1296",14,NA,NA,0
2018-11-13 07:13:34,"1296",14,NA,NA,0
2018-11-13 07:13:46,"1296",14,NA,NA,0
2018-11-13 07:14:07,"1296",14,NA,NA,0
2018-11-13 07:14:14,"1296",17,NA,NA,0
2018-11-13 07:14:40,"1296",14,NA,NA,0
2018-11-13 07:14:43,"1296",14,NA,NA,0
2018-11-13 07:15:12,"1187",14,NA,NA,0
2018-11-13 07:15:38,"2019",14,NA,NA,0
2018-11-13 07:15:46,"2019",14,NA,NA,0
2018-11-13 07:16:11,"1187",14,NA,NA,0
2018-11-13 07:18:08,"093",14,NA,NA,0
2018-11-13 07:18:14,"093",14,NA,NA,0
2018-11-13 07:18:42,"1205",14,NA,NA,0
2018-11-13 07:18:52,"1205",14,NA,NA,0
2018-11-13 07:19:21,"1296",14,NA,NA,0
2018-11-13 07:19:27,"1187",14,NA,NA,0
2018-11-13 07:19:35,"1187",14,NA,NA,0
2018-11-13 07:20:06,"1205",14,NA,NA,0
2018-11-13 07:20:07,"093",14,NA,NA,0
2018-11-13 07:20:15,"1205",14,NA,NA,0
2018-11-13 07:20:24,"1205",14,NA,NA,0
2018-11-13 07:20:58,"1296",14,NA,NA,0
2018-11-13 07:21:04,"1205",14,NA,NA,0
2018-11-13 07:21:09,"1205",14,NA,NA,0
2018-11-13 07:21:14,"1296",14,NA,NA,0
2018-11-13 07:21:30,"1205",14,NA,NA,0
2018-11-13 07:21:32,"1205",14,NA,NA,0
2018-11-13 07:21:32,"1296",14,NA,NA,0
2018-11-13 07:21:42,"1205",14,NA,NA,0
2018-11-13 07:22:12,"1296",14,NA,NA,0
2018-11-13 07:22:14,"1296",14,NA,NA,0
2018-11-13 07:22:35,"1296",14,NA,NA,0
2018-11-13 06:01:50,"2019",25,NA,NA,0
2018-11-13 07:22:44,"1205",14,NA,NA,0
2018-11-13 07:22:51,"1296",14,NA,NA,0
2018-11-13 07:22:55,"1205",14,NA,NA,0
2018-11-13 07:24:21,"1205",14,NA,NA,0
2018-11-13 07:24:28,"1205",14,NA,NA,0
2018-11-13 07:24:44,"1205",14,NA,NA,0
2018-11-13 07:25:17,"1296",14,NA,NA,0
2018-11-13 07:25:26,"1296",14,NA,NA,0
