"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"2209",0,0,242,0.902281629912662,2019-01-03 06:07:57,6,"4A-2209-0"
"2209",1,1,245,0,2019-01-03 06:08:57,0,"4A-2209-1"
"2209",2,1,246,0.150682038456804,2019-01-03 06:11:40,0,"4A-2209-1"
"2209",3,1,247,0.236075825945634,2019-01-03 06:13:38,0,"4A-2209-1"
"2209",4,1,248,0.285422866069682,2019-01-03 06:14:59,0,"4A-2209-1"
"2209",5,1,249,0.321161007534846,2019-01-03 06:16:21,0,"4A-2209-1"
"2209",6,1,250,0.390397274304991,2019-01-03 06:18:28,0,"4A-2209-1"
"2209",7,1,251,0.430049051967799,2019-01-03 06:20:26,0,"4A-2209-1"
"2209",8,1,252,0.50777048234223,2019-01-03 06:22:06,0,"4A-2209-1"
"097",0,0,242,0.902281629912662,2019-01-03 06:22:08,16,"4A-097-0"
"2209",9,1,253,0.570082542866282,2019-01-03 06:23:29,1,"4A-2209-1"
"097",1,1,245,0,2019-01-03 06:23:34,0,"4A-097-1"
"2209",10,1,254,0.627688654631427,2019-01-03 06:25:21,0,"4A-2209-1"
"097",2,1,246,0.150682038456804,2019-01-03 06:25:30,0,"4A-097-1"
"2209",11,1,255,0.653629658108507,2019-01-03 06:25:52,0,"4A-2209-1"
"097",3,1,247,0.236075825945634,2019-01-03 06:26:59,0,"4A-097-1"
"2209",12,1,256,0.716574280499815,2019-01-03 06:27:15,1,"4A-2209-1"
"2209",13,1,257,0.751627990711457,2019-01-03 06:28:13,0,"4A-2209-1"
"097",4,1,248,0.285422866069682,2019-01-03 06:28:22,0,"4A-097-1"
"2209",14,1,258,0.810700782808716,2019-01-03 06:29:27,0,"4A-2209-1"
"097",5,1,249,0.321161007534846,2019-01-03 06:29:30,0,"4A-097-1"
"2209",15,1,259,0.884412224031728,2019-01-03 06:31:35,0,"4A-2209-1"
"097",6,1,250,0.390397274304991,2019-01-03 06:31:36,0,"4A-097-1"
"2209",16,1,260,0.937653396425214,2019-01-03 06:32:23,0,"4A-2209-1"
"097",7,1,251,0.430049051967799,2019-01-03 06:33:25,0,"4A-097-1"
"2209",17,1,261,1,2019-01-03 06:34:03,0,"4A-2209-1"
"2065",0,0,242,0.902281629912662,2019-01-03 06:34:43,9,"4A-2065-0"
"097",8,1,252,0.50777048234223,2019-01-03 06:34:55,0,"4A-097-1"
"097",9,1,253,0.570082542866282,2019-01-03 06:36:25,0,"4A-097-1"
"2065",1,1,245,0,2019-01-03 06:36:42,0,"4A-2065-1"
"097",10,1,254,0.627688654631427,2019-01-03 06:37:45,0,"4A-097-1"
"2065",2,1,246,0.150682038456804,2019-01-03 06:38:09,0,"4A-2065-1"
"097",11,1,255,0.653629658108507,2019-01-03 06:38:50,0,"4A-097-1"
"2209",18,0,225,0.000947023149626863,2019-01-03 06:39:18,1,"4A-2209-2"
"2209",19,0,226,0.0532149960254601,2019-01-03 06:40:17,0,"4A-2209-2"
"097",12,1,256,0.716574280499815,2019-01-03 06:40:32,0,"4A-097-1"
"2065",3,1,247,0.236075825945634,2019-01-03 06:40:40,0,"4A-2065-1"
"2209",20,0,227,0.0877660910543383,2019-01-03 06:40:40,0,"4A-2209-2"
"097",13,1,257,0.751627990711457,2019-01-03 06:41:32,0,"4A-097-1"
"2209",21,0,228,0.10994450871619,2019-01-03 06:41:33,0,"4A-2209-2"
"2065",4,1,248,0.285422866069682,2019-01-03 06:42:05,0,"4A-2065-1"
"097",14,1,258,0.810700782808716,2019-01-03 06:42:48,0,"4A-097-1"
"2209",22,0,229,0.172801876475394,2019-01-03 06:43:22,2,"4A-2209-2"
"2065",5,1,249,0.321161007534846,2019-01-03 06:43:23,0,"4A-2065-1"
"2209",23,0,230,0.22167313719839,2019-01-03 06:44:31,5,"4A-2209-2"
"097",15,1,259,0.884412224031728,2019-01-03 06:44:57,0,"4A-097-1"
"2065",6,1,250,0.390397274304991,2019-01-03 06:45:58,0,"4A-2065-1"
"097",16,1,260,0.937653396425214,2019-01-03 06:46:07,0,"4A-097-1"
"2209",24,0,231,0.270729534416042,2019-01-03 06:46:22,5,"4A-2209-2"
"2065",7,1,251,0.430049051967799,2019-01-03 06:47:27,0,"4A-2065-1"
"2209",25,0,232,0.31791101260622,2019-01-03 06:47:50,0,"4A-2209-2"
"097",17,1,261,1,2019-01-03 06:48:12,0,"4A-097-1"
"097",18,0,225,0.000947023149626863,2019-01-03 06:48:20,0,"4A-097-2"
"2065",8,1,252,0.50777048234223,2019-01-03 06:49:07,0,"4A-2065-1"
"2209",26,0,233,0.357889254592392,2019-01-03 06:49:20,0,"4A-2209-2"
"2209",27,0,234,0.409267887558938,2019-01-03 06:50:49,0,"4A-2209-2"
"2065",9,1,253,0.570082542866282,2019-01-03 06:51:23,0,"4A-2065-1"
"2209",28,0,235,0.474964304485094,2019-01-03 06:53:08,1,"4A-2209-2"
"2065",10,1,254,0.627688654631427,2019-01-03 06:53:23,0,"4A-2065-1"
"2065",11,1,255,0.653629658108507,2019-01-03 06:54:41,0,"4A-2065-1"
"097",19,0,226,0.0532149960254601,2019-01-03 06:55:05,1,"4A-097-2"
"2209",29,0,236,0.561075460875635,2019-01-03 06:55:09,0,"4A-2209-2"
"2209",30,0,237,0.600485182326678,2019-01-03 06:55:56,0,"4A-2209-2"
"097",20,0,227,0.0877660910543383,2019-01-03 06:55:57,1,"4A-097-2"
"2065",12,1,256,0.716574280499815,2019-01-03 06:56:27,0,"4A-2065-1"
"097",21,0,228,0.10994450871619,2019-01-03 06:56:59,2,"4A-097-2"
"2209",31,0,238,0.627165444180284,2019-01-03 06:56:59,0,"4A-2209-2"
"2065",13,1,257,0.751627990711457,2019-01-03 06:57:21,0,"4A-2065-1"
"2065",14,1,258,0.810700782808716,2019-01-03 06:58:43,0,"4A-2065-1"
"2209",32,0,239,0.675120579250762,2019-01-03 06:59:01,0,"4A-2209-2"
"097",22,0,229,0.172801876475394,2019-01-03 06:59:21,3,"4A-097-2"
"2065",15,1,259,0.884412224031728,2019-01-03 07:00:47,0,"4A-2065-1"
"2241",0,0,242,0.902281629912662,2019-01-03 07:01:02,7,"4A-2241-0"
"097",23,0,230,0.22167313719839,2019-01-03 07:01:26,2,"4A-097-2"
"2209",33,0,240,0.766010222686297,2019-01-03 07:01:32,0,"4A-2209-2"
"2065",16,1,260,0.937653396425214,2019-01-03 07:01:38,0,"4A-2065-1"
"2241",1,1,245,0,2019-01-03 07:03:00,0,"4A-2241-1"
"2209",34,0,241,0.83555195293944,2019-01-03 07:03:02,0,"4A-2209-2"
"097",24,0,231,0.270729534416042,2019-01-03 07:03:06,3,"4A-097-2"
"2065",17,1,261,1,2019-01-03 07:03:14,0,"4A-2065-1"
"2065",18,0,225,0.000947023149626863,2019-01-03 07:03:18,0,"4A-2065-2"
"2209",35,0,242,0.902281629912662,2019-01-03 07:04:30,0,"4A-2209-2"
"097",25,0,232,0.31791101260622,2019-01-03 07:04:39,0,"4A-097-2"
"2241",2,1,246,0.150682038456804,2019-01-03 07:05:16,0,"4A-2241-1"
"097",26,0,233,0.357889254592392,2019-01-03 07:05:45,2,"4A-097-2"
"2209",36,0,243,0.959802035727321,2019-01-03 07:06:31,0,"4A-2209-2"
"2241",3,1,247,0.236075825945634,2019-01-03 07:06:51,0,"4A-2241-1"
"097",27,0,234,0.409267887558938,2019-01-03 07:07:15,0,"4A-097-2"
"2209",37,0,244,0.999468037923255,2019-01-03 07:07:17,1,"4A-2209-2"
"2241",4,1,248,0.285422866069682,2019-01-03 07:07:57,0,"4A-2241-1"
"2209",38,1,245,0,2019-01-03 07:08:01,0,"4A-2209-3"
"097",28,0,235,0.474964304485094,2019-01-03 07:08:49,0,"4A-097-2"
"2241",5,1,249,0.321161007534846,2019-01-03 07:09:17,1,"4A-2241-1"
"2065",19,0,226,0.0532149960254601,2019-01-03 07:10:11,2,"4A-2065-2"
"097",29,0,236,0.561075460875635,2019-01-03 07:10:42,3,"4A-097-2"
"097",30,0,237,0.600485182326678,2019-01-03 07:11:30,0,"4A-097-2"
"2065",20,0,227,0.0877660910543383,2019-01-03 07:11:37,2,"4A-2065-2"
"2241",6,1,250,0.390397274304991,2019-01-03 07:11:38,0,"4A-2241-1"
"2065",21,0,228,0.10994450871619,2019-01-03 07:12:07,0,"4A-2065-2"
"2209",39,1,246,0.150682038456804,2019-01-03 07:12:18,0,"4A-2209-3"
"2241",7,1,251,0.430049051967799,2019-01-03 07:13:12,0,"4A-2241-1"
"097",31,0,238,0.627165444180284,2019-01-03 07:13:28,0,"4A-097-2"
"2065",22,0,229,0.172801876475394,2019-01-03 07:14:00,3,"4A-2065-2"
"2241",8,1,252,0.50777048234223,2019-01-03 07:14:55,1,"4A-2241-1"
"2209",40,1,247,0.236075825945634,2019-01-03 07:14:57,0,"4A-2209-3"
"2065",23,0,230,0.22167313719839,2019-01-03 07:15:33,5,"4A-2065-2"
"097",32,0,239,0.675120579250762,2019-01-03 07:15:34,1,"4A-097-2"
"2209",41,1,248,0.285422866069682,2019-01-03 07:16:02,0,"4A-2209-3"
"2241",9,1,253,0.570082542866282,2019-01-03 07:16:41,1,"4A-2241-1"
"2065",24,0,231,0.270729534416042,2019-01-03 07:17:18,3,"4A-2065-2"
"2209",42,1,249,0.321161007534846,2019-01-03 07:17:24,1,"4A-2209-3"
"097",33,0,240,0.766010222686297,2019-01-03 07:17:43,0,"4A-097-2"
"2241",10,1,254,0.627688654631427,2019-01-03 07:17:43,0,"4A-2241-1"
"2065",25,0,232,0.31791101260622,2019-01-03 07:19:08,6,"4A-2065-2"
"2241",11,1,255,0.653629658108507,2019-01-03 07:19:11,0,"4A-2241-1"
"097",34,0,241,0.83555195293944,2019-01-03 07:19:22,1,"4A-097-2"
"2065",26,0,233,0.357889254592392,2019-01-03 07:20:13,1,"4A-2065-2"
"2209",43,1,250,0.390397274304991,2019-01-03 07:20:29,0,"4A-2209-3"
"097",35,0,242,0.902281629912662,2019-01-03 07:20:41,0,"4A-097-2"
"2241",12,1,256,0.716574280499815,2019-01-03 07:20:41,2,"4A-2241-1"
"2065",27,0,234,0.409267887558938,2019-01-03 07:21:40,1,"4A-2065-2"
"2209",44,1,251,0.430049051967799,2019-01-03 07:22:04,0,"4A-2209-3"
"2241",13,1,257,0.751627990711457,2019-01-03 07:22:06,0,"4A-2241-1"
"097",36,0,243,0.959802035727321,2019-01-03 07:22:17,0,"4A-097-2"
"2241",14,1,258,0.810700782808716,2019-01-03 07:23:01,0,"4A-2241-1"
"097",37,0,244,0.999468037923255,2019-01-03 07:23:29,0,"4A-097-2"
"2065",28,0,235,0.474964304485094,2019-01-03 07:23:31,0,"4A-2065-2"
"2209",45,1,252,0.50777048234223,2019-01-03 07:23:54,2,"4A-2209-3"
"2241",15,1,259,0.884412224031728,2019-01-03 07:24:21,0,"4A-2241-1"
"097",38,1,245,0,2019-01-03 07:24:28,0,"4A-097-3"
"2241",16,1,260,0.937653396425214,2019-01-03 07:25:13,0,"4A-2241-1"
"2209",46,1,253,0.570082542866282,2019-01-03 07:25:20,0,"4A-2209-3"
"2065",29,0,236,0.561075460875635,2019-01-03 07:25:23,1,"4A-2065-2"
"2241",17,1,261,1,2019-01-03 07:25:48,0,"4A-2241-1"
"2241",18,0,225,0.000947023149626863,2019-01-03 07:25:54,0,"4A-2241-2"
"2065",30,0,237,0.600485182326678,2019-01-03 07:26:24,0,"4A-2065-2"
"2209",47,1,254,0.627688654631427,2019-01-03 07:26:44,0,"4A-2209-3"
"2065",31,0,238,0.627165444180284,2019-01-03 07:27:22,0,"4A-2065-2"
"2209",48,1,255,0.653629658108507,2019-01-03 07:28:14,0,"4A-2209-3"
"2065",32,0,239,0.675120579250762,2019-01-03 07:29:23,0,"4A-2065-2"
"097",39,1,246,0.150682038456804,2019-01-03 07:29:43,1,"4A-097-3"
"2209",49,1,256,0.716574280499815,2019-01-03 07:29:59,0,"4A-2209-3"
"2209",50,1,257,0.751627990711457,2019-01-03 07:31:13,0,"4A-2209-3"
"097",40,1,247,0.236075825945634,2019-01-03 07:31:24,1,"4A-097-3"
"2241",19,0,226,0.0532149960254601,2019-01-03 07:32:15,3,"4A-2241-2"
"2065",33,0,240,0.766010222686297,2019-01-03 07:32:36,0,"4A-2065-2"
"097",41,1,248,0.285422866069682,2019-01-03 07:32:51,0,"4A-097-3"
"2241",20,0,227,0.0877660910543383,2019-01-03 07:32:58,2,"4A-2241-2"
"2209",51,1,258,0.810700782808716,2019-01-03 07:33:02,0,"4A-2209-3"
"2241",21,0,228,0.10994450871619,2019-01-03 07:33:52,0,"4A-2241-2"
"097",42,1,249,0.321161007534846,2019-01-03 07:34:08,0,"4A-097-3"
"2065",34,0,241,0.83555195293944,2019-01-03 07:34:44,0,"4A-2065-2"
"2209",52,1,259,0.884412224031728,2019-01-03 07:35:01,0,"4A-2209-3"
"2241",22,0,229,0.172801876475394,2019-01-03 07:35:38,4,"4A-2241-2"
"2241",23,0,230,0.22167313719839,2019-01-03 07:36:10,3,"4A-2241-2"
"2065",35,0,242,0.902281629912662,2019-01-03 07:36:14,1,"4A-2065-2"
"2209",53,1,260,0.937653396425214,2019-01-03 07:36:35,0,"4A-2209-3"
"097",43,1,250,0.390397274304991,2019-01-03 07:36:36,0,"4A-097-3"
"2209",54,1,261,1,2019-01-03 07:37:26,0,"4A-2209-3"
"2209",55,0,225,0.000947023149626863,2019-01-03 07:37:48,0,"4A-2209-4"
"097",44,1,251,0.430049051967799,2019-01-03 07:38:29,3,"4A-097-3"
"2241",24,0,231,0.270729534416042,2019-01-03 07:38:37,8,"4A-2241-2"
