"stop_id","route","direction","geometry"
488,"1",1,"{""type"":""LineString"",""coordinates"":[[28.6927,50.2681],[28.6928,50.2682],[28.6929,50.2682],[28.6934,50.2683],[28.6937,50.2685],[28.694,50.2686],[28.6948,50.2688],[28.6953,50.2688],[28.6956,50.2688],[28.6958,50.2688],[28.6959,50.2688],[28.6961,50.2687],[28.6963,50.2687],[28.6964,50.2686],[28.6968,50.2684],[28.6971,50.2682],[28.6972,50.2683],[28.6973,50.2683],[28.6974,50.2684],[28.6974,50.2685],[28.6974,50.2685],[28.6974,50.2685],[28.6974,50.2686],[28.6974,50.2686],[28.6974,50.2687],[28.6973,50.2687],[28.6973,50.2688],[28.6972,50.2688],[28.697,50.2689],[28.6968,50.2691]]}"
489,"1",1,"{""type"":""Point"",""coordinates"":[28.6968,50.2691]}"
80,"10",0,"{""type"":""LineString"",""coordinates"":[[28.5938,50.2858],[28.5939,50.2858],[28.5941,50.2858],[28.5942,50.2858],[28.5943,50.2858],[28.5944,50.2858],[28.5944,50.2858],[28.5945,50.2858],[28.5946,50.2858],[28.5947,50.2858],[28.5948,50.2858],[28.5949,50.2859],[28.5949,50.286],[28.5951,50.2859],[28.5954,50.2859],[28.5955,50.2858],[28.5956,50.2858],[28.597,50.2856],[28.599,50.2852],[28.6009,50.2849],[28.6017,50.2847],[28.6017,50.2847],[28.6019,50.2847]]}"
81,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6019,50.2847],[28.602,50.2846],[28.6037,50.2843],[28.6045,50.2842],[28.6053,50.284],[28.6069,50.2837],[28.607,50.2837],[28.6071,50.2837],[28.6073,50.2837],[28.6077,50.2836]]}"
82,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6077,50.2836],[28.6077,50.2836],[28.6086,50.2834],[28.6099,50.2832],[28.6103,50.2831],[28.612,50.2828]]}"
83,"10",0,"{""type"":""LineString"",""coordinates"":[[28.612,50.2828],[28.612,50.2828],[28.6126,50.2827],[28.6128,50.2827],[28.6157,50.2822],[28.6171,50.2819],[28.6178,50.2817],[28.6181,50.2817],[28.6183,50.2817]]}"
84,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6183,50.2817],[28.6183,50.2816],[28.6197,50.2814],[28.6199,50.2814],[28.6222,50.2809],[28.6226,50.2809],[28.6227,50.2808],[28.6228,50.2808],[28.6238,50.2807],[28.6238,50.2806],[28.6239,50.2806],[28.6241,50.2806],[28.6246,50.2805],[28.6253,50.2804],[28.627,50.2801],[28.6292,50.2797],[28.6293,50.2797],[28.6308,50.2794],[28.6311,50.2794]]}"
85,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6311,50.2794],[28.6311,50.2794],[28.6315,50.2793],[28.6316,50.2793],[28.6325,50.2791],[28.6329,50.279],[28.634,50.2788],[28.6342,50.2788],[28.6351,50.2787],[28.6361,50.2785],[28.6365,50.2784],[28.6366,50.2784]]}"
86,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6366,50.2784],[28.6366,50.2784],[28.6374,50.2782],[28.6376,50.2782],[28.639,50.278],[28.6399,50.2778],[28.6408,50.2777],[28.641,50.2776],[28.6411,50.2776]]}"
87,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6411,50.2776],[28.6411,50.2776],[28.6412,50.2775],[28.6421,50.2774],[28.6429,50.2772],[28.6437,50.2771],[28.6443,50.2769],[28.6443,50.2769],[28.6449,50.2768],[28.6456,50.2766],[28.6476,50.2761],[28.6479,50.2761],[28.6484,50.2759],[28.6486,50.2759],[28.6488,50.2758],[28.6489,50.2758]]}"
88,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6489,50.2758],[28.6489,50.2758],[28.649,50.2758],[28.6495,50.2757],[28.6498,50.2756],[28.6501,50.2755],[28.6529,50.275],[28.6538,50.2749],[28.6556,50.2746],[28.657,50.2744],[28.6572,50.2743],[28.6575,50.2743],[28.658,50.2742],[28.6587,50.2741],[28.6588,50.2741]]}"
89,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6588,50.2741],[28.6588,50.274],[28.6595,50.2739],[28.6603,50.2738],[28.6605,50.2738],[28.6617,50.2736],[28.6629,50.2734],[28.6633,50.2733],[28.6645,50.2731],[28.6646,50.273],[28.6657,50.2729],[28.6661,50.2728],[28.6663,50.2728],[28.6668,50.2727],[28.6669,50.2727]]}"
90,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6669,50.2727],[28.667,50.2727],[28.6675,50.2726],[28.6679,50.2725],[28.6685,50.2725],[28.6689,50.2724],[28.6696,50.2724],[28.6699,50.2724],[28.6704,50.2723],[28.6708,50.2723],[28.6711,50.2724],[28.6717,50.2724],[28.672,50.2725],[28.6721,50.2725],[28.6722,50.2725]]}"
91,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6722,50.2725],[28.6724,50.2725],[28.6728,50.2726],[28.6731,50.2727],[28.6735,50.2728],[28.6737,50.2729],[28.6747,50.2733],[28.6749,50.273],[28.6751,50.2728]]}"
92,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6751,50.2728],[28.6751,50.2728],[28.6754,50.2724],[28.6756,50.2722],[28.6758,50.272],[28.6758,50.272],[28.6761,50.2716],[28.6777,50.2697],[28.6779,50.2695],[28.6784,50.2689],[28.679,50.2681],[28.6794,50.2677]]}"
93,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6794,50.2677],[28.6794,50.2676],[28.6795,50.2675],[28.68,50.267],[28.6802,50.2667],[28.6804,50.2664],[28.6807,50.2661]]}"
94,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6807,50.2661],[28.6807,50.266],[28.6808,50.266],[28.6814,50.2652],[28.6818,50.2648],[28.6818,50.2647],[28.6822,50.2643],[28.6822,50.2643],[28.6824,50.264],[28.6824,50.264],[28.6825,50.2639],[28.6825,50.2639],[28.6825,50.2638],[28.6826,50.2638],[28.6827,50.2638],[28.6827,50.2638],[28.6828,50.2639],[28.6832,50.264],[28.6832,50.264]]}"
95,"10",0,"{""type"":""LineString"",""coordinates"":[[28.6832,50.264],[28.6836,50.2642],[28.6838,50.2643],[28.6846,50.2646],[28.6863,50.2654],[28.6865,50.2655],[28.6869,50.2656],[28.687,50.2657]]}"
96,"10",0,"{""type"":""LineString"",""coordinates"":[[28.687,50.2657],[28.6874,50.2658],[28.6885,50.2663],[28.6887,50.2664],[28.6889,50.2665],[28.6889,50.2665],[28.6893,50.2667],[28.6894,50.2667],[28.6894,50.2667],[28.6902,50.2671],[28.6907,50.2673],[28.6911,50.2675],[28.6912,50.2675],[28.6915,50.2676],[28.6917,50.2677],[28.6919,50.2678],[28.692,50.2678]]}"
97,"10",0,"{""type"":""LineString"",""coordinates"":[[28.692,50.2678],[28.6924,50.268],[28.6926,50.2681],[28.6927,50.2681],[28.6928,50.2682],[28.6929,50.2682],[28.6934,50.2683],[28.6937,50.2685],[28.694,50.2686],[28.6944,50.2689],[28.6953,50.2693],[28.6961,50.2696],[28.6967,50.2699],[28.6975,50.2702],[28.6997,50.2712],[28.7,50.2713],[28.7005,50.2715],[28.7009,50.2717],[28.701,50.2717]]}"
98,"10",0,"{""type"":""LineString"",""coordinates"":[[28.701,50.2717],[28.7012,50.2718],[28.7018,50.2721],[28.7034,50.2727],[28.7043,50.2721]]}"
99,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7043,50.2721],[28.7043,50.2721],[28.705,50.2716],[28.7054,50.2713],[28.7061,50.2708],[28.7074,50.2699]]}"
100,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7074,50.2699],[28.7074,50.2699],[28.7079,50.2696],[28.7082,50.2694],[28.7094,50.2685],[28.7107,50.2676]]}"
101,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7107,50.2676],[28.7107,50.2676],[28.7109,50.2674],[28.7113,50.2672],[28.7114,50.2671],[28.7116,50.2669],[28.7139,50.2653],[28.7145,50.265]]}"
102,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7145,50.265],[28.7145,50.2649],[28.7148,50.2647],[28.7151,50.2646],[28.7156,50.2642],[28.7163,50.2637],[28.717,50.2632],[28.7182,50.2623],[28.7187,50.262],[28.7188,50.2619]]}"
103,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7188,50.2619],[28.7188,50.2619],[28.7191,50.2617],[28.7204,50.2608],[28.7211,50.2604],[28.7214,50.2601],[28.7217,50.2599],[28.722,50.2597]]}"
104,"10",0,"{""type"":""LineString"",""coordinates"":[[28.722,50.2597],[28.722,50.2597],[28.7221,50.2597],[28.7242,50.2581],[28.7249,50.2577],[28.7249,50.2576],[28.7256,50.2572],[28.7257,50.2571],[28.7257,50.2571],[28.7258,50.257]]}"
105,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7258,50.257],[28.7259,50.2569],[28.7262,50.2567],[28.7265,50.2563],[28.7268,50.2558],[28.7269,50.2557],[28.727,50.2555],[28.7271,50.2553],[28.7272,50.2552],[28.7273,50.255],[28.7273,50.2548],[28.7274,50.2546],[28.7274,50.2544],[28.7275,50.2542],[28.7275,50.254],[28.7275,50.2538],[28.7275,50.253],[28.7275,50.2526],[28.7275,50.2517],[28.7275,50.2507],[28.7275,50.2505],[28.7276,50.2502],[28.7279,50.2502],[28.7279,50.2501],[28.7282,50.2501],[28.7284,50.2501],[28.7286,50.2501]]}"
106,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7286,50.2501],[28.7286,50.2501],[28.7304,50.2499],[28.7334,50.2496]]}"
107,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7334,50.2496],[28.7334,50.2496],[28.7346,50.2495],[28.735,50.2494],[28.7371,50.2492],[28.7393,50.249],[28.7394,50.2489]]}"
108,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7394,50.2489],[28.7394,50.2489],[28.7403,50.2488],[28.7404,50.2488],[28.7409,50.2488],[28.7407,50.2483],[28.7407,50.2481],[28.7407,50.2481]]}"
109,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7407,50.2481],[28.74,50.2458],[28.7398,50.245],[28.7397,50.2448],[28.7394,50.2437],[28.7394,50.2437]]}"
110,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7394,50.2437],[28.7393,50.2436],[28.7391,50.243],[28.7383,50.2401],[28.7383,50.2401]]}"
111,"10",0,"{""type"":""LineString"",""coordinates"":[[28.7383,50.2401],[28.7382,50.2397],[28.7382,50.2394],[28.7375,50.2373],[28.7372,50.2362],[28.737,50.2356]]}"
112,"10",0,"{""type"":""LineString"",""coordinates"":[[28.737,50.2356],[28.737,50.2355],[28.7369,50.2354],[28.737,50.2355]]}"
113,"10",1,"{""type"":""LineString"",""coordinates"":[[28.737,50.2356],[28.7372,50.2362],[28.7375,50.2373],[28.7382,50.2394],[28.7382,50.2397],[28.7382,50.2397]]}"
114,"10",1,"{""type"":""LineString"",""coordinates"":[[28.7382,50.2397],[28.7383,50.2401],[28.7391,50.243],[28.7393,50.2436],[28.7393,50.2436]]}"
115,"10",1,"{""type"":""LineString"",""coordinates"":[[28.7393,50.2436],[28.7394,50.2437],[28.7397,50.2448],[28.7398,50.245],[28.74,50.2458],[28.7407,50.2481],[28.7407,50.2483],[28.7407,50.2483]]}"
116,"10",1,"{""type"":""LineString"",""coordinates"":[[28.7407,50.2483],[28.7409,50.2488],[28.7404,50.2488]]}"
117,"10",1,"{""type"":""LineString"",""coordinates"":[[28.7404,50.2488],[28.7404,50.2488],[28.7403,50.2488],[28.7394,50.2489],[28.7393,50.249],[28.7371,50.2492],[28.735,50.2494]]}"
118,"10",1,"{""type"":""LineString"",""coordinates"":[[28.735,50.2494],[28.735,50.2494],[28.7346,50.2495],[28.7334,50.2496],[28.7304,50.2499],[28.7286,50.2501],[28.7284,50.2501]]}"
