date,route,n
2019-01-13,53,3868
2019-01-13,53A,3881
2019-01-13,5A,1165
2019-01-13,7,1762
2019-01-13,8,417
2019-01-13,91,4215
2019-01-13,H2,195
2019-01-13,H3,210
2019-01-13,H4,97
2019-01-13,H5,346
2019-01-14,1,6680
2019-01-14,10,2407
2019-01-14,12,1488
2019-01-14,15A,4875
2019-01-14,2,7059
2019-01-14,3,6689
2019-01-14,4,3772
2019-01-14,4A,1307
2019-01-14,53,6913
2019-01-14,53A,6490
2019-01-14,53C,164
2019-01-14,5A,3926
2019-01-14,6,402
2019-01-14,7,196
2019-01-14,7A,1933
2019-01-14,8,1989
2019-01-14,9,703
2019-01-14,91,8429
2019-01-14,H2,136
2019-01-14,H3,161
2019-01-14,H4,76
2019-01-14,H5,322
2019-01-15,1,6276
2019-01-15,10,2443
2019-01-15,12,1362
2019-01-15,15A,5558
2019-01-15,2,7102
2019-01-15,3,7446
2019-01-15,4,3656
2019-01-15,4A,1232
2019-01-15,53,6310
2019-01-15,53A,6895
2019-01-15,5A,3774
2019-01-15,6,347
2019-01-15,7,5
2019-01-15,7A,2105
2019-01-15,8,1948
2019-01-15,9,708
2019-01-15,91,8646
2019-01-15,H2,137
2019-01-15,H3,154
2019-01-15,H4,75
2019-01-15,H5,217
2019-01-16,1,7026
2019-01-16,10,2789
2019-01-16,12,1422
2019-01-16,15A,5268
2019-01-16,2,6877
2019-01-16,3,7345
2019-01-16,4,3725
2019-01-16,4A,1172
2019-01-16,53,7065
2019-01-16,53A,6757
2019-01-16,5A,3911
2019-01-16,6,433
2019-01-16,7,349
2019-01-16,7A,1878
2019-01-16,8,1873
2019-01-16,9,742
2019-01-16,91,8939
2019-01-16,H2,148
2019-01-16,H3,120
2019-01-16,H4,71
2019-01-16,H5,276
2019-01-17,1,6922
2019-01-17,10,2865
2019-01-17,12,1587
2019-01-17,15A,5218
2019-01-17,2,6322
2019-01-17,3,7829
2019-01-17,4,3595
2019-01-17,4A,1211
2019-01-17,53,6575
2019-01-17,53A,6679
2019-01-17,5A,4217
2019-01-17,6,410
2019-01-17,7,3
2019-01-17,7A,2206
2019-01-17,8,1819
2019-01-17,9,691
2019-01-17,91,8311
2019-01-17,H2,170
2019-01-17,H3,196
2019-01-17,H4,110
2019-01-17,H5,287
2019-01-18,1,7001
2019-01-18,10,2818
2019-01-18,12,1602
2019-01-18,15A,5431
2019-01-18,2,7852
2019-01-18,3,7264
2019-01-18,4,3953
2019-01-18,4A,1286
2019-01-18,53,6417
2019-01-18,53A,7036
2019-01-18,5A,3858
2019-01-18,6,427
2019-01-18,7A,2285
2019-01-18,8,2051
2019-01-18,9,628
2019-01-18,91,9191
2019-01-18,H2,174
2019-01-18,H3,230
2019-01-18,H4,122
2019-01-18,H5,328
2019-01-19,1,5881
2019-01-19,12,1823
2019-01-19,15A,5252
2019-01-19,2,5903
2019-01-19,3,6182
2019-01-19,4,2675
2019-01-19,4A,6
2019-01-19,53,3800
2019-01-19,53A,3628
2019-01-19,5A,2966
2019-01-19,7,2153
2019-01-19,8,509
2019-01-19,9,618
2019-01-19,91,5407
2019-01-19,H2,204
2019-01-19,H3,268
2019-01-19,H4,123
2019-01-19,H5,308
2019-01-20,1,4134
2019-01-20,12,1481
2019-01-20,15A,3581
2019-01-20,2,4475
2019-01-20,3,3992
2019-01-20,4,1963
2019-01-20,53,3127
2019-01-20,53A,3140
2019-01-20,5A,1072
2019-01-20,7,1520
2019-01-20,8,494
2019-01-20,91,4105
