"route","stop_id","direction","date","transactions","geometry"
"9",63,1,2018-08-09,5,"{""type"":""LineString"",""coordinates"":[[28.7029922261025,50.237876527268],[28.702984,50.237877],[28.702713,50.237892],[28.7024,50.23791],[28.701747,50.237956],[28.70146,50.237963],[28.700674,50.237985],[28.700452,50.237992],[28.699969,50.237994],[28.699667,50.237965],[28.699026,50.237864],[28.698515,50.237774],[28.698037,50.237682],[28.697556,50.237622],[28.697326,50.237687],[28.6966519843663,50.2377897164609]]}"
"53A",1556,0,2018-08-12,85,"{""type"":""LineString"",""coordinates"":[[28.6578802131984,50.2751947731967],[28.65789,50.275166],[28.65794,50.27502],[28.65798,50.2749],[28.657991,50.274849],[28.658,50.27481],[28.65803,50.2747],[28.658072,50.274538],[28.658037,50.274187],[28.65802,50.27411],[28.658,50.27404],[28.65799,50.27394],[28.65796,50.27377],[28.65788,50.273086],[28.65785,50.27283],[28.657819,50.272483],[28.6578185124488,50.2724774888203]]}"
"1",449,0,2018-08-12,164,"{""type"":""LineString"",""coordinates"":[[28.66617504,50.25347928],[28.666198,50.253476],[28.6663,50.25346],[28.66642,50.25343],[28.66654,50.25339],[28.66665,50.25335],[28.66677,50.2533],[28.66691,50.25323],[28.66709,50.25313],[28.6682,50.25255],[28.6692,50.25203],[28.669401,50.251921],[28.6697,50.25176],[28.669896,50.251662],[28.670106,50.251547],[28.6704716477263,50.251354696381]]}"
"6",296,1,2018-08-09,15,"{""type"":""LineString"",""coordinates"":[[28.685572440041,50.2651713902817],[28.68466,50.26479],[28.6845,50.26473],[28.68424,50.26461],[28.6841,50.26455],[28.68354,50.26433],[28.68272,50.26396],[28.682708,50.263957],[28.68265,50.26395],[28.682591,50.263949],[28.682533,50.263952],[28.68249,50.26396],[28.682449,50.263971],[28.682397,50.263992],[28.68238,50.26402],[28.6822172302601,50.264231680844]]}"
"5A",1969,0,2018-08-06,39,"{""type"":""Point"",""coordinates"":[28.613074,50.239265]}"
H4,2539,0,2018-08-08,2,"{""type"":""LineString"",""coordinates"":[[28.6552281884932,50.2890166893151],[28.65494,50.28849],[28.65483,50.28825],[28.65479,50.28816],[28.65475,50.28804],[28.65474,50.28796],[28.65473,50.28791],[28.65473,50.28786],[28.65473,50.28782],[28.65473,50.28776],[28.65474,50.2877],[28.65476,50.28762],[28.6548,50.28749],[28.654819,50.287434],[28.65484,50.28736],[28.65489,50.28717],[28.65499,50.28686],[28.65503,50.28672],[28.65508,50.28654],[28.65513,50.28638],[28.6553,50.28573],[28.65532,50.28557],[28.65534,50.28547],[28.65535,50.28536],[28.655369,50.285166],[28.65537,50.28516],[28.65538,50.28507],[28.6553944461538,50.2848725692308]]}"
"9",52,0,2018-08-09,12,"{""type"":""LineString"",""coordinates"":[[28.6850918496564,50.2447704198014],[28.685121,50.244754],[28.685769,50.244389],[28.68607,50.24422],[28.68613,50.24419],[28.686504,50.243976],[28.68725,50.24355],[28.68758,50.24336],[28.68769,50.2433],[28.687874,50.243187],[28.68811,50.24304],[28.6884811422709,50.242786296467]]}"
"3",1222,0,2018-08-12,61,"{""type"":""LineString"",""coordinates"":[[28.6609341073477,50.255347651748],[28.660952,50.255306],[28.66113,50.25489],[28.661218,50.25467],[28.66129,50.25449],[28.6614,50.25423],[28.66144,50.25413],[28.66146,50.25403],[28.66151,50.253859],[28.66229,50.25383],[28.66362,50.25372],[28.66375,50.25371],[28.66401,50.253688],[28.66435,50.25366],[28.66536,50.25357],[28.66583,50.25353],[28.66617,50.25348],[28.66617504,50.25347928]]}"
"1",449,0,2018-08-08,190,"{""type"":""LineString"",""coordinates"":[[28.66617504,50.25347928],[28.666198,50.253476],[28.6663,50.25346],[28.66642,50.25343],[28.66654,50.25339],[28.66665,50.25335],[28.66677,50.2533],[28.66691,50.25323],[28.66709,50.25313],[28.6682,50.25255],[28.6692,50.25203],[28.669401,50.251921],[28.6697,50.25176],[28.669896,50.251662],[28.670106,50.251547],[28.6704716477263,50.251354696381]]}"
"12",161,1,2018-08-09,249,"{""type"":""LineString"",""coordinates"":[[28.6628970934276,50.2585591365326],[28.662878,50.258582],[28.66278,50.2587],[28.66201,50.25968],[28.662001,50.259692],[28.66194,50.25977],[28.661793,50.259952],[28.661773,50.259975],[28.66171,50.26005],[28.66165,50.26013],[28.66139,50.26044],[28.66128,50.26059],[28.6612174456739,50.2606703393796]]}"
