"vehicle","route","chunk","start_datetime","end_datetime"
"077","4",0,2019-01-17 09:46:49,2019-01-17 09:51:24
"077","4",1,2019-01-17 09:54:03,2019-01-17 10:36:04
"077","4",2,2019-01-17 11:04:38,2019-01-17 12:16:32
"077","4",3,2019-01-17 12:45:33,2019-01-17 12:48:14
"077","4",4,2019-01-17 12:50:32,2019-01-17 13:27:59
"077","4A",0,2019-01-17 07:24:48,2019-01-17 07:24:48
"077","4A",1,2019-01-17 07:28:13,2019-01-17 07:31:16
"077","4A",2,2019-01-17 07:34:15,2019-01-17 07:56:19
"077","4A",3,2019-01-17 07:59:04,2019-01-17 08:17:23
"077","4A",4,2019-01-17 08:19:54,2019-01-17 08:38:03
"077","4A",5,2019-01-17 08:47:02,2019-01-17 09:46:27
"077","4A",6,2019-01-17 13:28:05,2019-01-17 13:43:13
"077","4A",7,2019-01-17 13:52:05,2019-01-17 14:25:45
"077","4A",8,2019-01-17 14:27:59,2019-01-17 15:23:45
"077","4A",9,2019-01-17 15:35:56,2019-01-17 16:10:13
"077","4A",10,2019-01-17 16:12:31,2019-01-17 17:02:48
"077","4A",11,2019-01-17 17:14:40,2019-01-17 17:32:01
"077","4A",12,2019-01-17 17:34:04,2019-01-17 17:36:04
"077","4A",13,2019-01-17 18:19:00,2019-01-17 18:21:12
"077","4A",14,2019-01-17 18:24:58,2019-01-17 18:28:48
"078","9",0,2019-01-17 06:03:47,2019-01-17 06:03:47
"078","9",1,2019-01-17 06:34:37,2019-01-17 06:41:35
"078","9",2,2019-01-17 09:18:57,2019-01-17 09:27:10
"078","9",3,2019-01-17 10:46:30,2019-01-17 10:52:40
"078","9",4,2019-01-17 10:55:57,2019-01-17 10:56:56
"078","9",5,2019-01-17 11:03:21,2019-01-17 11:05:44
"078","9",6,2019-01-17 14:22:44,2019-01-17 14:28:25
"078","9",7,2019-01-17 19:42:29,2019-01-17 19:47:57
"078","9",8,2019-01-17 20:06:59,2019-01-17 20:08:29
"078","9",9,2019-01-17 20:10:47,2019-01-17 20:12:33
"078","9",10,2019-01-17 20:15:30,2019-01-17 20:18:10
"078","9",11,2019-01-17 20:28:45,2019-01-17 20:28:54
"078","9",12,2019-01-17 20:35:24,2019-01-17 20:36:35
"078","9",13,2019-01-17 20:39:45,2019-01-17 20:44:05
"078","9",14,2019-01-17 20:47:43,2019-01-17 20:47:53
"078","9",15,2019-01-17 20:53:41,2019-01-17 20:54:20
"078","9",16,2019-01-17 20:59:00,2019-01-17 21:00:31
"079","10",0,2019-01-17 06:07:58,2019-01-17 06:09:28
"079","10",1,2019-01-17 06:13:53,2019-01-17 06:21:00
"079","10",2,2019-01-17 09:10:45,2019-01-17 09:25:01
"079","10",3,2019-01-17 09:27:02,2019-01-17 09:27:38
"079","10",4,2019-01-17 10:03:45,2019-01-17 10:04:18
"079","10",5,2019-01-17 11:23:49,2019-01-17 11:24:19
