"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"104",0,1,462,0.636426837983938,2018-11-06 04:00:03,0,"3-104-0"
"104",1,1,463,0.666476051785978,2018-11-06 04:00:47,0,"3-104-0"
"104",2,1,464,0.785352062053556,2018-11-06 04:04:10,0,"3-104-0"
"104",3,1,465,0.829103037721989,2018-11-06 04:05:08,0,"3-104-0"
"104",4,1,466,0.853488062469526,2018-11-06 04:05:57,0,"3-104-0"
"104",5,1,467,0.877097686830236,2018-11-06 04:06:45,0,"3-104-0"
"104",6,1,468,0.920956170592977,2018-11-06 04:08:07,0,"3-104-0"
"104",7,1,469,0.999720957386812,2018-11-06 04:10:07,0,"3-104-0"
"104",8,0,416,0,2018-11-06 04:10:11,0,"3-104-1"
"104",9,0,417,0.051077783177666,2018-11-06 04:15:06,0,"3-104-1"
"104",10,0,418,0.0869311207212589,2018-11-06 04:16:53,2,"3-104-1"
"104",11,0,419,0.113986121910725,2018-11-06 04:18:01,1,"3-104-1"
"104",12,0,420,0.153287395991182,2018-11-06 04:19:32,0,"3-104-1"
"1070",0,0,442,0.871186489177376,2018-11-06 04:21:59,12,"3-1070-0"
"104",13,0,421,0.233049012764581,2018-11-06 04:22:37,0,"3-104-1"
"1070",1,0,443,0.903765212448126,2018-11-06 04:24:56,2,"3-1070-0"
"104",14,0,422,0.267350191032581,2018-11-06 04:24:57,2,"3-104-1"
"1070",2,0,444,0.914594330102925,2018-11-06 04:25:16,0,"3-1070-0"
"104",15,0,423,0.295235849792585,2018-11-06 04:26:05,2,"3-104-1"
"1070",3,0,445,0.965474719393249,2018-11-06 04:27:12,0,"3-1070-0"
"104",16,0,424,0.349056769995844,2018-11-06 04:28:30,2,"3-104-1"
"1070",4,0,446,0.999819394180512,2018-11-06 04:28:46,0,"3-1070-0"
"1070",5,1,447,0,2018-11-06 04:28:51,0,"3-1070-1"
"104",17,0,425,0.374059381846933,2018-11-06 04:29:48,0,"3-104-1"
"104",18,0,426,0.390166085297969,2018-11-06 04:30:53,0,"3-104-1"
"1070",6,1,448,0.0494770094910253,2018-11-06 04:31:49,0,"3-1070-1"
"104",19,0,427,0.410258715551298,2018-11-06 04:32:06,0,"3-104-1"
"1070",7,1,449,0.102675729366079,2018-11-06 04:33:00,1,"3-1070-1"
"104",20,0,428,0.438012414182722,2018-11-06 04:33:41,0,"3-104-1"
"1070",8,1,450,0.133481511477111,2018-11-06 04:34:00,0,"3-1070-1"
"1070",9,1,451,0.193179054191643,2018-11-06 04:35:30,0,"3-1070-1"
"1070",10,1,452,0.210017119918637,2018-11-06 04:35:50,0,"3-1070-1"
