"vehicle","route","chunk","start_datetime","end_datetime"
"077","7",0,2018-12-23 17:20:43,2018-12-23 17:23:02
"079","3",0,2018-12-23 08:20:18,2018-12-23 08:26:45
"079","3",1,2018-12-23 08:31:45,2018-12-23 08:33:18
"079","3",2,2018-12-23 19:11:32,2018-12-23 19:14:20
"079","3",3,2018-12-23 19:16:50,2018-12-23 19:17:25
"079","3",4,2018-12-24 00:00:58,2018-12-24 00:00:58
"081","2",0,2018-12-23 05:40:27,2018-12-23 05:41:13
"081","2",1,2018-12-23 06:44:21,2018-12-23 06:44:31
"081","2",2,2018-12-23 06:52:00,2018-12-23 06:53:24
"081","2",3,2018-12-23 14:13:43,2018-12-23 14:15:54
"081","2",4,2018-12-23 14:19:18,2018-12-23 14:21:51
"081","2",5,2018-12-23 14:32:22,2018-12-23 14:32:37
"081","2",6,2018-12-23 14:41:16,2018-12-23 14:44:06
"081","2",7,2018-12-23 15:18:03,2018-12-23 15:19:24
"081","2",8,2018-12-23 17:14:10,2018-12-23 17:14:20
"082","4",0,2018-12-23 08:23:10,2018-12-23 08:25:36
"082","4",1,2018-12-23 17:07:21,2018-12-23 17:09:28
"083","7",0,2018-12-23 07:23:18,2018-12-23 07:31:38
"083","7",1,2018-12-23 19:03:17,2018-12-23 19:15:54
"083","7",2,2018-12-23 19:18:02,2018-12-23 19:27:07
"083","7",3,2018-12-24 00:00:10,2018-12-24 00:00:10
"086","3",0,2018-12-23 07:17:09,2018-12-23 07:19:39
"086","3",1,2018-12-23 21:14:19,2018-12-23 21:15:39
"086","3",2,2018-12-23 21:18:41,2018-12-23 21:18:50
"086","3",3,2018-12-24 00:00:05,2018-12-24 00:00:05
"088","3",0,2018-12-23 07:49:40,2018-12-23 07:49:40
"088","3",1,2018-12-23 07:56:50,2018-12-23 08:01:14
"088","3",2,2018-12-23 18:34:27,2018-12-23 18:35:57
"088","3",3,2018-12-23 18:48:57,2018-12-23 18:55:45
"098","1",0,2018-12-23 07:52:03,2018-12-23 07:53:57
"098","1",1,2018-12-23 21:06:38,2018-12-23 21:07:31
"098","H2",0,2018-12-23 23:53:28,2018-12-23 23:56:08
"098","H2",1,2018-12-24 00:00:08,2018-12-24 00:00:08
"098","H2",2,2018-12-24 01:03:18,2018-12-24 01:03:58
"098","H2",3,2018-12-24 01:06:28,2018-12-24 01:08:56
"098","H2",4,2018-12-24 01:11:17,2018-12-24 01:11:56
"1006","3",0,2018-12-23 17:37:39,2018-12-23 17:42:14
"1006","3",1,2018-12-23 17:46:54,2018-12-23 17:48:23
"1006","3",2,2018-12-23 18:12:54,2018-12-23 18:13:34
"1006","3",3,2018-12-23 21:35:51,2018-12-23 21:38:16
"1006","3",4,2018-12-23 21:50:17,2018-12-23 21:55:59
"1006","3",5,2018-12-24 00:00:01,2018-12-24 00:00:01
