"vehicle","chunk","start_datetime","end_datetime"
"077",0,2018-11-07 05:54:24,2018-11-07 05:54:24
"077",1,2018-11-07 06:20:50,2018-11-07 09:11:50
"077",2,2018-11-07 09:21:37,2018-11-07 09:53:02
"077",3,2018-11-07 10:09:36,2018-11-07 10:10:05
"077",4,2018-11-07 11:33:00,2018-11-07 11:33:10
"077",5,2018-11-07 11:47:59,2018-11-07 11:49:33
"077",6,2018-11-07 14:22:20,2018-11-07 14:22:34
"077",7,2018-11-07 15:30:00,2018-11-07 15:30:14
"077",8,2018-11-07 15:50:28,2018-11-07 15:53:12
"077",9,2018-11-07 16:23:05,2018-11-07 16:54:51
"077",10,2018-11-07 17:01:26,2018-11-07 17:54:44
"077",11,2018-11-07 18:09:38,2018-11-07 18:31:12
"077",12,2018-11-07 20:58:10,2018-11-07 21:00:04
"078",0,2018-11-07 05:58:51,2018-11-07 05:58:51
"078",1,2018-11-07 06:54:39,2018-11-07 06:57:46
"078",2,2018-11-07 07:11:06,2018-11-07 10:01:00
"078",3,2018-11-07 10:39:56,2018-11-07 10:40:06
"078",4,2018-11-07 10:49:11,2018-11-07 10:51:21
"078",5,2018-11-07 11:17:33,2018-11-07 11:17:33
"078",6,2018-11-07 12:26:34,2018-11-07 12:28:53
"078",7,2018-11-07 13:22:02,2018-11-07 13:22:31
"078",8,2018-11-07 13:44:51,2018-11-07 19:14:05
"078",9,2018-11-07 20:06:28,2018-11-07 20:11:05
"079",0,2018-11-07 05:57:40,2018-11-07 09:34:49
"079",1,2018-11-07 14:29:38,2018-11-07 19:44:35
"079",2,2018-11-08 00:01:36,2018-11-08 00:01:36
"082",0,2018-11-07 06:25:49,2018-11-07 06:31:39
"082",1,2018-11-07 06:42:29,2018-11-07 16:49:48
"082",2,2018-11-07 17:08:29,2018-11-07 17:11:52
"082",3,2018-11-07 18:18:22,2018-11-07 18:20:06
"082",4,2018-11-07 19:21:36,2018-11-07 19:33:01
"082",5,2018-11-07 19:42:11,2018-11-07 20:26:01
"082",6,2018-11-07 20:31:06,2018-11-07 21:04:26
"082",7,2018-11-07 21:30:24,2018-11-07 22:21:00
"082",8,2018-11-07 22:31:21,2018-11-07 23:20:06
"082",9,2018-11-07 23:30:17,2018-11-08 00:20:30
"082",10,2018-11-08 00:29:46,2018-11-08 00:48:51
"082",11,2018-11-08 01:04:41,2018-11-08 02:41:06
"082",12,2018-11-08 03:17:46,2018-11-08 03:18:54
"083",0,2018-11-07 06:54:56,2018-11-07 09:17:38
"083",1,2018-11-07 09:23:08,2018-11-07 21:24:15
"083",2,2018-11-07 21:37:46,2018-11-07 21:38:29
"083",3,2018-11-07 22:03:44,2018-11-07 22:04:13
"083",4,2018-11-08 00:00:15,2018-11-08 00:00:15
"083",5,2018-11-08 02:11:30,2018-11-08 02:11:59
"083",6,2018-11-08 02:38:51,2018-11-08 02:40:33
"084",0,2018-11-07 05:04:40,2018-11-07 05:04:40
"084",1,2018-11-07 05:46:09,2018-11-07 06:40:19
"084",2,2018-11-07 06:45:39,2018-11-07 09:17:12
"084",3,2018-11-07 14:10:26,2018-11-07 19:21:51
"084",4,2018-11-07 19:29:41,2018-11-07 19:36:45
"086",0,2018-11-07 06:02:11,2018-11-07 13:48:02
"086",1,2018-11-07 13:53:19,2018-11-07 20:57:40
"086",2,2018-11-07 21:32:27,2018-11-07 21:53:10
"086",3,2018-11-07 22:00:53,2018-11-07 22:22:18
"086",4,2018-11-07 22:30:20,2018-11-07 23:22:12
"086",5,2018-11-07 23:30:25,2018-11-07 23:47:58
"086",6,2018-11-08 00:00:02,2018-11-08 00:18:20
"086",7,2018-11-08 00:27:54,2018-11-08 00:53:16
"086",8,2018-11-08 01:06:08,2018-11-08 01:09:17
"087",0,2018-11-07 05:48:43,2018-11-07 09:02:10
"087",1,2018-11-07 10:49:59,2018-11-07 10:52:46
"087",2,2018-11-07 14:10:55,2018-11-07 19:02:12
"087",3,2018-11-07 19:09:28,2018-11-07 19:12:56
"087",4,2018-11-08 00:00:17,2018-11-08 00:00:17
"088",0,2018-11-07 06:05:19,2018-11-07 07:42:03
"088",1,2018-11-07 07:48:08,2018-11-07 09:28:43
"088",2,2018-11-07 09:34:37,2018-11-07 09:34:47
"088",3,2018-11-07 10:01:15,2018-11-07 10:01:29
"088",4,2018-11-07 11:49:30,2018-11-07 11:52:33
"088",5,2018-11-07 14:41:35,2018-11-07 14:41:45
"088",6,2018-11-07 16:06:03,2018-11-07 16:07:59
"088",7,2018-11-07 16:54:49,2018-11-07 18:32:27
"088",8,2018-11-07 18:38:17,2018-11-07 20:13:51
"088",9,2018-11-07 20:22:22,2018-11-07 20:29:04
"090",0,2018-11-07 07:39:49,2018-11-07 07:43:59
"090",1,2018-11-07 09:54:15,2018-11-07 09:58:49
"090",2,2018-11-07 10:58:55,2018-11-07 11:02:53
"090",3,2018-11-07 11:22:08,2018-11-07 14:51:12
"090",4,2018-11-07 15:07:57,2018-11-07 15:13:52
"090",5,2018-11-07 15:22:21,2018-11-07 15:43:33
"090",6,2018-11-07 17:30:21,2018-11-07 17:35:02
"090",7,2018-11-07 18:00:03,2018-11-07 18:04:07
"090",8,2018-11-07 20:49:25,2018-11-07 20:54:11
"090",9,2018-11-08 00:00:48,2018-11-08 00:00:48
"093",0,2018-11-07 06:23:21,2018-11-07 18:59:09
"093",1,2018-11-07 19:29:34,2018-11-07 21:21:46
"093",2,2018-11-07 21:30:34,2018-11-07 21:54:15
"093",3,2018-11-07 22:01:05,2018-11-07 22:20:44
"093",4,2018-11-07 22:30:19,2018-11-07 22:53:26
"093",5,2018-11-07 23:02:06,2018-11-07 23:20:38
"093",6,2018-11-07 23:30:18,2018-11-07 23:52:11
"093",7,2018-11-07 23:58:39,2018-11-08 00:18:52
"093",8,2018-11-08 00:24:43,2018-11-08 00:44:07
"093",9,2018-11-08 00:52:38,2018-11-08 00:55:30
"094",0,2018-11-07 06:33:00,2018-11-07 09:28:20
"094",1,2018-11-07 14:24:55,2018-11-07 19:54:20
"094",2,2018-11-08 00:00:04,2018-11-08 00:00:04
"095",0,2018-11-07 05:28:34,2018-11-07 06:15:57
"095",1,2018-11-07 06:21:58,2018-11-07 10:36:42
"095",2,2018-11-07 13:56:03,2018-11-07 16:24:09
"095",3,2018-11-07 16:29:19,2018-11-07 19:09:55
"095",4,2018-11-08 00:00:10,2018-11-08 00:00:10
"096",0,2018-11-07 06:16:51,2018-11-07 09:50:04
"096",1,2018-11-07 14:43:40,2018-11-07 14:53:01
"096",2,2018-11-07 15:05:24,2018-11-07 19:57:19
"096",3,2018-11-08 00:01:21,2018-11-08 00:01:21
"097",0,2018-11-07 07:26:49,2018-11-07 10:05:32
"097",1,2018-11-07 10:11:13,2018-11-07 14:22:44
"097",2,2018-11-07 16:12:31,2018-11-07 16:19:37
"097",3,2018-11-07 16:48:59,2018-11-07 16:49:48
"097",4,2018-11-07 20:11:33,2018-11-07 20:17:29
"097",5,2018-11-08 00:00:00,2018-11-08 00:00:00
"098",0,2018-11-07 05:55:07,2018-11-07 05:55:07
"098",1,2018-11-07 06:13:48,2018-11-07 09:23:31
"098",2,2018-11-07 15:19:08,2018-11-07 16:46:07
"098",3,2018-11-07 17:10:53,2018-11-07 18:05:34
"098",4,2018-11-07 18:20:00,2018-11-07 20:35:42
"098",5,2018-11-08 00:00:15,2018-11-08 00:00:15
"1006",0,2018-11-07 05:53:05,2018-11-07 09:09:56
"1006",1,2018-11-07 10:49:06,2018-11-07 10:49:15
"1006",2,2018-11-07 10:57:01,2018-11-07 10:58:58
"1006",3,2018-11-07 14:52:51,2018-11-07 19:58:42
"1006",4,2018-11-08 00:00:06,2018-11-08 00:00:06
"101",0,2018-11-07 05:48:57,2018-11-07 05:48:57
"101",1,2018-11-07 06:07:18,2018-11-07 06:07:54
"101",2,2018-11-07 06:14:34,2018-11-07 10:07:04
"101",3,2018-11-07 10:13:03,2018-11-07 10:13:15
"101",4,2018-11-07 10:27:14,2018-11-07 10:27:24
"101",5,2018-11-07 13:48:33,2018-11-07 13:50:04
"101",6,2018-11-07 14:00:01,2018-11-07 14:00:11
"101",7,2018-11-07 14:43:48,2018-11-07 14:43:59
"101",8,2018-11-07 15:38:59,2018-11-07 15:39:23
"1017",0,2018-11-07 04:00:28,2018-11-07 05:42:30
"1017",1,2018-11-07 05:49:16,2018-11-07 10:08:24
"1017",2,2018-11-07 16:40:28,2018-11-07 20:18:18
"1017",3,2018-11-07 21:07:09,2018-11-07 21:08:04
"1017",4,2018-11-07 22:15:04,2018-11-07 22:18:01
"1017",5,2018-11-08 00:00:01,2018-11-08 00:00:01
"1028",0,2018-11-07 05:28:25,2018-11-07 09:03:12
"1028",1,2018-11-07 09:47:04,2018-11-07 09:52:21
"1028",2,2018-11-07 14:30:40,2018-11-07 14:40:01
"1028",3,2018-11-07 14:51:56,2018-11-07 16:05:02
"1028",4,2018-11-07 17:39:37,2018-11-07 19:16:11
"1028",5,2018-11-07 21:11:05,2018-11-07 21:17:28
"1028",6,2018-11-08 00:07:29,2018-11-08 00:07:29
"1032",0,2018-11-07 06:11:23,2018-11-07 06:12:57
"1032",1,2018-11-07 06:30:49,2018-11-07 09:01:42
"1032",2,2018-11-07 09:07:34,2018-11-07 09:51:32
"1032",3,2018-11-07 13:38:55,2018-11-07 13:40:00
"1032",4,2018-11-07 13:49:10,2018-11-07 14:32:29
"1032",5,2018-11-07 14:39:20,2018-11-07 19:04:51
"104",0,2018-11-07 06:05:20,2018-11-07 06:05:39
"104",1,2018-11-07 06:15:30,2018-11-07 08:45:03
"104",2,2018-11-07 08:50:23,2018-11-07 09:33:58
"104",3,2018-11-07 13:30:50,2018-11-07 16:55:50
"104",4,2018-11-07 17:04:24,2018-11-07 18:47:28
"104",5,2018-11-08 00:00:04,2018-11-08 00:00:04
"1045",0,2018-11-07 06:59:00,2018-11-07 06:59:20
"1045",1,2018-11-07 07:05:50,2018-11-07 09:14:08
"1045",2,2018-11-07 09:58:38,2018-11-07 15:14:15
"1045",3,2018-11-07 15:21:14,2018-11-07 21:02:03
"1045",4,2018-11-07 21:07:31,2018-11-07 21:11:17
"1045",5,2018-11-08 00:00:00,2018-11-08 00:00:00
"1046",0,2018-11-07 06:53:54,2018-11-07 10:47:32
"1046",1,2018-11-07 10:52:52,2018-11-07 13:56:11
"1046",2,2018-11-07 14:02:31,2018-11-07 18:03:42
"1046",3,2018-11-07 20:12:24,2018-11-07 20:12:33
"1046",4,2018-11-07 20:21:03,2018-11-07 20:22:27
"1046",5,2018-11-08 00:00:21,2018-11-08 00:00:21
"105",0,2018-11-07 04:14:12,2018-11-07 08:58:35
"105",1,2018-11-07 13:49:38,2018-11-07 18:46:04
"105",2,2018-11-07 18:51:58,2018-11-07 18:59:09
"1050",0,2018-11-07 06:32:55,2018-11-07 09:53:45
"1050",1,2018-11-07 10:09:56,2018-11-07 10:10:06
"1050",2,2018-11-07 10:24:23,2018-11-07 10:25:03
"1050",3,2018-11-07 13:51:55,2018-11-07 19:01:03
"1050",4,2018-11-07 19:06:24,2018-11-07 19:10:22
"1050",5,2018-11-07 21:03:40,2018-11-07 21:04:38
"1050",6,2018-11-08 00:00:20,2018-11-08 00:00:20
"1051",0,2018-11-07 05:21:12,2018-11-07 05:21:12
"1051",1,2018-11-07 05:44:57,2018-11-07 09:49:30
"1051",2,2018-11-07 14:42:43,2018-11-07 14:42:53
"1051",3,2018-11-07 14:50:39,2018-11-07 14:51:09
"1051",4,2018-11-07 16:59:05,2018-11-07 17:01:04
"1051",5,2018-11-07 17:08:15,2018-11-07 17:11:33
"1058",0,2018-11-07 05:10:04,2018-11-07 06:36:27
"1058",1,2018-11-07 06:59:57,2018-11-07 21:57:20
"1058",2,2018-11-07 22:15:18,2018-11-07 22:16:05
"1058",3,2018-11-07 22:53:56,2018-11-07 22:54:05
"1058",4,2018-11-07 23:07:03,2018-11-07 23:08:44
"1058",5,2018-11-08 00:00:15,2018-11-08 00:00:15
"1058",6,2018-11-08 02:23:03,2018-11-08 02:27:26
"1061",0,2018-11-07 05:07:43,2018-11-07 07:31:52
"1061",1,2018-11-07 07:38:32,2018-11-07 09:24:35
"1061",2,2018-11-07 09:30:48,2018-11-07 10:13:12
"1061",3,2018-11-07 14:16:35,2018-11-07 14:55:40
"1061",4,2018-11-07 15:00:41,2018-11-07 16:44:52
"1061",5,2018-11-07 16:50:31,2018-11-07 19:17:21
"1061",6,2018-11-07 19:27:52,2018-11-07 19:31:02
"1061",7,2018-11-08 00:00:04,2018-11-08 00:00:04
"1063",0,2018-11-07 05:14:49,2018-11-07 05:14:49
"1063",1,2018-11-07 05:44:07,2018-11-07 07:15:49
"1063",2,2018-11-07 07:21:17,2018-11-07 10:48:51
"1063",3,2018-11-07 10:54:17,2018-11-07 10:55:54
"1063",4,2018-11-07 14:35:05,2018-11-07 19:49:25
"1067",0,2018-11-07 05:13:50,2018-11-07 10:23:40
"1067",1,2018-11-07 14:54:43,2018-11-07 14:55:13
"1067",2,2018-11-07 15:09:03,2018-11-07 17:41:04
"1067",3,2018-11-07 17:47:04,2018-11-07 20:12:40
"1067",4,2018-11-07 20:20:08,2018-11-07 20:20:27
"1069",0,2018-11-07 05:56:32,2018-11-07 05:56:32
"1069",1,2018-11-07 06:20:12,2018-11-07 07:10:02
"1069",2,2018-11-07 07:15:42,2018-11-07 10:18:02
"1069",3,2018-11-07 10:24:12,2018-11-07 11:54:32
"1069",4,2018-11-07 12:01:26,2018-11-07 13:30:20
"1069",5,2018-11-07 13:35:21,2018-11-07 20:03:15
"1070",0,2018-11-07 06:34:34,2018-11-07 08:18:06
"1070",1,2018-11-07 08:23:37,2018-11-07 10:01:22
"1070",2,2018-11-07 13:55:57,2018-11-07 17:49:23
"1070",3,2018-11-07 17:54:54,2018-11-07 19:30:57
"1070",4,2018-11-07 19:37:03,2018-11-07 19:40:48
"1070",5,2018-11-08 00:03:32,2018-11-08 00:03:32
"1187",0,2018-11-07 06:27:51,2018-11-07 16:54:16
"1187",1,2018-11-07 17:42:52,2018-11-07 17:47:57
"1187",2,2018-11-08 00:01:10,2018-11-08 00:01:10
"1199",0,2018-11-07 06:07:27,2018-11-07 06:09:35
"1199",1,2018-11-07 06:15:26,2018-11-07 09:18:14
"1199",2,2018-11-07 14:20:10,2018-11-07 20:36:57
"1199",3,2018-11-07 21:15:33,2018-11-07 21:16:01
"1199",4,2018-11-07 21:32:06,2018-11-07 21:32:50
"1199",5,2018-11-07 21:54:00,2018-11-07 21:54:27
"1199",6,2018-11-07 22:16:44,2018-11-07 22:22:23
"1199",7,2018-11-07 22:29:03,2018-11-07 22:32:00
"1199",8,2018-11-08 00:00:02,2018-11-08 00:00:02
"1205",0,2018-11-07 14:26:25,2018-11-07 16:57:51
"1205",1,2018-11-07 17:05:57,2018-11-07 20:32:29
"1205",2,2018-11-08 00:04:30,2018-11-08 00:04:30
"1219",0,2018-11-07 05:35:38,2018-11-07 09:54:54
"1219",1,2018-11-07 10:04:14,2018-11-07 10:08:35
"1219",2,2018-11-07 13:07:39,2018-11-07 13:15:38
"1219",3,2018-11-07 14:58:57,2018-11-07 19:32:05
"1219",4,2018-11-08 00:00:06,2018-11-08 00:00:06
"1226",0,2018-11-07 06:20:47,2018-11-07 09:19:39
"1226",1,2018-11-07 11:24:05,2018-11-07 11:31:47
"1226",2,2018-11-07 14:14:39,2018-11-07 19:55:04
"1226",3,2018-11-08 00:04:39,2018-11-08 00:04:39
"1227",0,2018-11-07 05:19:21,2018-11-07 05:19:21
"1227",1,2018-11-07 05:45:35,2018-11-07 05:46:04
"1227",2,2018-11-07 05:53:56,2018-11-07 09:35:38
"1227",3,2018-11-07 11:12:37,2018-11-07 11:13:07
"1227",4,2018-11-07 11:43:59,2018-11-07 11:44:33
"1227",5,2018-11-07 14:31:57,2018-11-07 19:42:30
"1238",0,2018-11-07 06:31:14,2018-11-07 16:57:30
"1238",1,2018-11-07 19:19:25,2018-11-07 22:54:23
"1238",2,2018-11-07 23:00:27,2018-11-07 23:23:33
"1238",3,2018-11-07 23:34:59,2018-11-08 01:05:43
"1240",0,2018-11-07 05:03:46,2018-11-07 05:03:46
"1240",1,2018-11-07 05:15:56,2018-11-07 05:52:51
