"vehicle","chunk","direction","fraction","start_datetime","transactions","group"
"2277",229,0,0.589771605828292,2018-08-08 07:46:40,1,"6-2277-10"
"2277",230,0,0.626024467367472,2018-08-08 07:48:03,3,"6-2277-10"
"2277",231,0,0.674272017160062,2018-08-08 07:49:54,3,"6-2277-10"
"2277",232,0,0.760973992547278,2018-08-08 07:52:43,4,"6-2277-10"
"2277",233,0,0.793715976984123,2018-08-08 07:54:43,0,"6-2277-10"
"2277",234,0,0.827603360975344,2018-08-08 07:55:05,0,"6-2277-10"
"2277",235,0,0.863419135759976,2018-08-08 07:56:27,0,"6-2277-10"
"2277",236,0,0.904162999558368,2018-08-08 07:58:25,0,"6-2277-10"
"2277",237,0,0.950536341005195,2018-08-08 08:00:15,0,"6-2277-10"
"2277",238,0,0.984872313255525,2018-08-08 08:02:09,0,"6-2277-10"
"2241",70,0,0.000578421700119148,2018-08-08 08:15:16,0,"6-2241-3"
"2241",71,0,0.0325025935057746,2018-08-08 08:20:07,5,"6-2241-3"
"2241",72,0,0.0536056712240504,2018-08-08 08:21:12,6,"6-2241-3"
"2241",73,0,0.0671517794210626,2018-08-08 08:21:58,3,"6-2241-3"
"2241",74,0,0.105543729542471,2018-08-08 08:24:05,2,"6-2241-3"
"2241",75,0,0.135393261441981,2018-08-08 08:25:25,4,"6-2241-3"
"2241",76,0,0.165355870794809,2018-08-08 08:26:47,8,"6-2241-3"
"2241",77,0,0.194173319280255,2018-08-08 08:28:08,3,"6-2241-3"
"2241",78,0,0.218591183517816,2018-08-08 08:29:36,2,"6-2241-3"
"2241",79,0,0.249972165325934,2018-08-08 08:32:04,1,"6-2241-3"
"2241",80,0,0.290098146602248,2018-08-08 08:33:59,8,"6-2241-3"
"2241",81,0,0.342693018753228,2018-08-08 08:35:28,3,"6-2241-3"
"2241",82,0,0.368748430445886,2018-08-08 08:37:03,0,"6-2241-3"
"2277",249,0,0.626024467367472,2018-08-08 08:38:24,0,"6-2277-12"
"2241",83,0,0.434907001863647,2018-08-08 08:39:57,2,"6-2241-3"
"2277",250,0,0.674272017160062,2018-08-08 08:40:31,0,"6-2277-12"
"2241",84,0,0.494813855338183,2018-08-08 08:41:45,0,"6-2241-3"
"2241",85,0,0.557507818976829,2018-08-08 08:43:14,0,"6-2241-3"
"2241",86,0,0.589771605828292,2018-08-08 08:44:46,1,"6-2241-3"
"2241",87,0,0.626024467367472,2018-08-08 08:46:13,4,"6-2241-3"
"2241",88,0,0.674272017160062,2018-08-08 08:47:27,1,"6-2241-3"
"2241",89,0,0.760973992547278,2018-08-08 08:51:20,0,"6-2241-3"
"2241",90,0,0.793715976984123,2018-08-08 08:53:22,0,"6-2241-3"
"2241",91,0,0.827603360975344,2018-08-08 08:54:07,0,"6-2241-3"
"2241",92,0,0.863419135759976,2018-08-08 08:54:47,2,"6-2241-3"
"2241",93,0,0.904162999558368,2018-08-08 08:56:17,6,"6-2241-3"
"2241",94,0,0.950536341005195,2018-08-08 08:57:02,0,"6-2241-3"
"2241",95,0,0.984872313255525,2018-08-08 08:59:39,0,"6-2241-3"
"2241",121,0,0.000578421700119148,2018-08-08 09:39:35,0,"6-2241-5"
"2241",122,0,0.0325025935057746,2018-08-08 09:45:46,1,"6-2241-5"
"2241",123,0,0.0536056712240504,2018-08-08 09:46:32,0,"6-2241-5"
"2241",124,0,0.0671517794210626,2018-08-08 09:47:04,0,"6-2241-5"
"2241",125,0,0.105543729542471,2018-08-08 09:48:52,1,"6-2241-5"
"2241",126,0,0.135393261441981,2018-08-08 09:50:03,2,"6-2241-5"
"2241",127,0,0.165355870794809,2018-08-08 09:51:33,1,"6-2241-5"
"2241",128,0,0.194173319280255,2018-08-08 09:53:29,0,"6-2241-5"
"2241",129,0,0.218591183517816,2018-08-08 09:54:10,0,"6-2241-5"
"2241",130,0,0.249972165325934,2018-08-08 09:56:10,0,"6-2241-5"
"2241",131,0,0.290098146602248,2018-08-08 09:58:06,0,"6-2241-5"
"2241",132,0,0.342693018753228,2018-08-08 09:59:28,1,"6-2241-5"
"2241",133,0,0.368748430445886,2018-08-08 10:00:57,2,"6-2241-5"
