"vehicle","route","chunk","start_datetime","end_datetime"
"077","4A",0,2018-11-19 05:31:55,2018-11-19 05:31:55
"077","4A",1,2018-11-19 06:35:04,2018-11-19 07:13:26
"077","4A",2,2018-11-19 07:16:48,2018-11-19 08:10:02
"077","4A",3,2018-11-19 08:14:51,2018-11-19 08:32:18
"077","4A",4,2018-11-19 08:34:22,2018-11-19 09:06:57
"077","4A",5,2018-11-19 09:09:56,2018-11-19 09:51:52
"077","4A",6,2018-11-19 09:54:33,2018-11-19 09:55:17
"077","4A",7,2018-11-19 12:07:00,2018-11-19 12:07:12
"077","4A",8,2018-11-19 13:32:16,2018-11-19 13:32:48
"077","4A",9,2018-11-19 13:38:09,2018-11-19 13:40:43
"077","4A",10,2018-11-19 13:42:48,2018-11-19 15:14:32
"077","4A",11,2018-11-19 15:19:06,2018-11-19 16:10:50
"077","4A",12,2018-11-19 16:15:27,2018-11-19 18:09:25
"077","4A",13,2018-11-19 18:12:11,2018-11-19 18:40:53
"077","4A",14,2018-11-19 18:43:08,2018-11-19 18:49:45
"077","4A",15,2018-11-19 19:05:36,2018-11-19 19:08:47
"077","H5",0,2018-11-19 20:25:50,2018-11-19 20:26:00
"078","9",0,2018-11-19 06:17:19,2018-11-19 06:17:19
"078","9",1,2018-11-19 06:28:16,2018-11-19 06:28:26
"078","9",2,2018-11-19 06:40:37,2018-11-19 06:41:03
"078","9",3,2018-11-19 06:52:01,2018-11-19 06:52:13
"078","9",4,2018-11-19 07:10:13,2018-11-19 07:12:47
"078","9",5,2018-11-19 07:15:07,2018-11-19 07:17:40
"078","9",6,2018-11-19 09:55:06,2018-11-19 10:03:36
"078","9",7,2018-11-19 10:25:31,2018-11-19 10:25:57
"078","9",8,2018-11-19 10:31:43,2018-11-19 10:35:35
"078","9",9,2018-11-19 10:40:32,2018-11-19 10:40:42
"078","9",10,2018-11-19 13:39:05,2018-11-19 13:39:29
"078","9",11,2018-11-19 13:42:09,2018-11-19 13:42:24
"078","9",12,2018-11-19 13:47:09,2018-11-19 13:53:16
"078","9",13,2018-11-19 19:00:05,2018-11-19 19:03:27
"078","9",14,2018-11-19 19:06:06,2018-11-19 19:07:09
"078","9",15,2018-11-19 19:10:06,2018-11-19 19:10:15
"078","9",16,2018-11-19 19:12:36,2018-11-19 19:15:25
"078","9",17,2018-11-19 19:42:39,2018-11-19 19:43:28
"078","9",18,2018-11-19 19:48:04,2018-11-19 19:53:06
"078","9",19,2018-11-19 19:55:20,2018-11-19 19:58:08
"079","2",0,2018-11-19 06:47:31,2018-11-19 06:48:38
"079","2",1,2018-11-19 22:01:00,2018-11-19 22:02:30
"079","2",2,2018-11-19 22:04:58,2018-11-19 22:05:34
"079","2",3,2018-11-19 22:10:57,2018-11-19 22:15:17
"079","2",4,2018-11-20 00:01:17,2018-11-20 00:01:17
"081","7A",0,2018-11-19 06:00:16,2018-11-19 06:00:16
"081","7A",1,2018-11-19 06:17:29,2018-11-19 06:25:06
"081","7A",2,2018-11-19 06:35:35,2018-11-19 07:03:53
"081","7A",3,2018-11-19 07:17:06,2018-11-19 07:34:28
"081","7A",4,2018-11-19 07:37:08,2018-11-19 07:54:25
"081","7A",5,2018-11-19 08:07:36,2018-11-19 08:39:05
"081","7A",6,2018-11-19 08:52:31,2018-11-19 09:10:41
"081","7A",7,2018-11-19 09:14:31,2018-11-19 09:31:07
"081","7A",8,2018-11-19 09:42:37,2018-11-19 10:15:31
"081","7A",9,2018-11-19 10:30:31,2018-11-19 10:46:54
"081","7A",10,2018-11-19 10:52:39,2018-11-19 11:07:56
"081","7A",11,2018-11-19 11:20:04,2018-11-19 11:32:31
"081","7A",12,2018-11-19 12:12:12,2018-11-19 12:12:31
"081","7A",13,2018-11-19 12:20:00,2018-11-19 12:35:23
"081","7A",14,2018-11-19 12:41:29,2018-11-19 12:43:37
"081","7A",15,2018-11-19 13:42:37,2018-11-19 13:43:18
"081","7A",16,2018-11-19 14:00:19,2018-11-19 14:01:26
"081","7A",17,2018-11-19 14:31:26,2018-11-19 14:33:07
"081","7A",18,2018-11-19 18:14:16,2018-11-19 18:15:42
"082","1",0,2018-11-19 06:07:02,2018-11-19 06:07:48
"082","1",1,2018-11-19 06:10:08,2018-11-19 06:11:54
"082","1",2,2018-11-19 21:05:07,2018-11-19 21:06:30
"082","1",3,2018-11-19 21:10:50,2018-11-19 21:13:53
"082","1",4,2018-11-19 21:31:53,2018-11-19 21:32:03
"082","1",5,2018-11-19 21:49:03,2018-11-19 21:49:18
"082","1",6,2018-11-19 23:58:24,2018-11-20 00:00:06
"082","1",7,2018-11-20 00:04:16,2018-11-20 00:05:01
"083","3",0,2018-11-19 04:59:23,2018-11-19 04:59:23
"083","3",1,2018-11-19 05:15:58,2018-11-19 05:16:28
"083","3",2,2018-11-19 05:27:16,2018-11-19 05:34:59
"083","3",3,2018-11-19 06:13:23,2018-11-19 06:21:39
"083","3",4,2018-11-19 06:26:24,2018-11-19 06:35:35
"083","3",5,2018-11-19 06:39:12,2018-11-19 06:40:06
"083","3",6,2018-11-19 06:57:50,2018-11-19 07:07:00
"083","3",7,2018-11-19 21:04:16,2018-11-19 21:09:29
"083","3",8,2018-11-19 21:11:30,2018-11-19 21:17:57
"083","3",9,2018-11-19 21:46:33,2018-11-19 21:48:44
"083","3",10,2018-11-19 22:00:15,2018-11-19 22:05:18
"083","3",11,2018-11-20 00:01:19,2018-11-20 00:01:19
"084","2",0,2018-11-19 05:07:54,2018-11-19 05:07:54
"084","2",1,2018-11-19 05:47:03,2018-11-19 05:48:07
"084","2",2,2018-11-19 09:13:48,2018-11-19 09:19:03
"084","2",3,2018-11-19 14:05:54,2018-11-19 14:07:24
"084","2",4,2018-11-19 16:59:47,2018-11-19 16:59:57
"084","2",5,2018-11-19 19:16:55,2018-11-19 19:19:58
"084","2",6,2018-11-19 19:22:48,2018-11-19 19:24:24
"084","2",7,2018-11-19 19:34:52,2018-11-19 19:35:53
"085","15A",0,2018-11-19 06:46:56,2018-11-19 06:47:27
"085","15A",1,2018-11-19 07:02:05,2018-11-19 07:03:25
"085","15A",2,2018-11-19 21:42:49,2018-11-19 21:44:08
"085","15A",3,2018-11-19 21:53:13,2018-11-19 21:57:46
"085","15A",4,2018-11-19 22:36:00,2018-11-19 22:36:14
"085","15A",5,2018-11-20 00:00:00,2018-11-20 00:00:00
"085","15A",6,2018-11-20 02:11:31,2018-11-20 02:12:42
"086","3",0,2018-11-19 05:37:17,2018-11-19 05:37:17
"086","3",1,2018-11-19 06:10:59,2018-11-19 06:14:12
"086","H3",0,2018-11-19 23:51:31,2018-11-19 23:53:08
"086","H3",1,2018-11-19 23:59:05,2018-11-20 00:01:50
"087","15A",0,2018-11-19 06:22:51,2018-11-19 06:23:29
"087","15A",1,2018-11-19 06:26:08,2018-11-19 06:26:20
"087","15A",2,2018-11-19 19:06:27,2018-11-19 19:06:38
"087","15A",3,2018-11-19 21:06:16,2018-11-19 21:07:06
"087","15A",4,2018-11-19 21:16:09,2018-11-19 21:20:48
"087","15A",5,2018-11-20 00:00:15,2018-11-20 00:00:15
"088","2",0,2018-11-19 06:10:33,2018-11-19 06:13:08
"088","H5",0,2018-11-19 23:25:26,2018-11-19 23:47:33
"088","H5",1,2018-11-19 23:51:03,2018-11-19 23:54:32
"088","H5",2,2018-11-20 00:00:12,2018-11-20 00:00:12
"090","4A",0,2018-11-19 05:46:08,2018-11-19 05:46:08
"090","4A",1,2018-11-19 14:33:01,2018-11-19 14:34:42
"090","4A",2,2018-11-19 14:38:40,2018-11-19 14:38:40
"090","4A",3,2018-11-19 20:26:14,2018-11-19 20:26:17
"090","4A",4,2018-11-19 20:30:15,2018-11-19 20:30:15
"090","4A",5,2018-11-19 20:34:58,2018-11-19 20:35:34
"090","4A",6,2018-11-19 20:39:32,2018-11-19 20:39:32
"090","4A",7,2018-11-20 00:02:01,2018-11-20 00:02:01
"093","10",0,2018-11-19 07:00:15,2018-11-19 07:05:00
"093","10",1,2018-11-19 07:20:20,2018-11-19 07:59:55
"093","10",2,2018-11-19 08:32:00,2018-11-19 08:54:50
"093","10",3,2018-11-19 08:59:38,2018-11-19 09:41:57
"093","10",4,2018-11-19 10:12:22,2018-11-19 10:34:47
"093","10",5,2018-11-19 10:39:49,2018-11-19 11:23:24
"093","10",6,2018-11-19 11:53:04,2018-11-19 12:15:46
"093","10",7,2018-11-19 12:22:05,2018-11-19 13:05:09
"093","10",8,2018-11-19 13:31:06,2018-11-19 13:52:13
"093","10",9,2018-11-19 13:58:33,2018-11-19 14:42:06
"093","10",10,2018-11-19 15:14:04,2018-11-19 15:35:34
"093","10",11,2018-11-19 15:41:11,2018-11-19 16:13:05
"093","10",12,2018-11-19 16:19:37,2018-11-19 16:28:18
"093","10",13,2018-11-19 18:36:11,2018-11-19 18:56:09
"093","10",14,2018-11-19 19:02:34,2018-11-19 19:45:22
"093","10",15,2018-11-19 20:15:58,2018-11-19 20:25:41
"093","10",16,2018-11-19 20:59:02,2018-11-19 21:21:11
"093","10",17,2018-11-19 21:30:12,2018-11-19 21:52:06
"093","10",18,2018-11-19 22:00:46,2018-11-19 22:10:07
"093","10",19,2018-11-19 22:43:29,2018-11-19 22:54:31
"093","10",20,2018-11-19 23:00:17,2018-11-19 23:21:38
"093","10",21,2018-11-19 23:29:58,2018-11-20 00:08:15
"093","10",22,2018-11-20 00:32:16,2018-11-20 00:37:11
"093","10",23,2018-11-20 00:47:14,2018-11-20 00:59:54
"093","10",24,2018-11-20 01:11:08,2018-11-20 01:17:14
"093","10",25,2018-11-20 01:34:54,2018-11-20 01:38:18
"094","9",0,2018-11-19 05:54:38,2018-11-19 05:54:38
"094","9",1,2018-11-19 06:18:26,2018-11-19 06:18:46
"094","9",2,2018-11-19 06:36:26,2018-11-19 06:41:25
"094","9",3,2018-11-19 09:18:26,2018-11-19 09:24:15
"094","9",4,2018-11-19 09:27:06,2018-11-19 09:29:38
"094","9",5,2018-11-19 09:34:32,2018-11-19 09:34:52
"094","9",6,2018-11-19 10:14:02,2018-11-19 10:14:22
"094","9",7,2018-11-19 13:28:55,2018-11-19 13:31:48
"094","9",8,2018-11-19 14:15:09,2018-11-19 14:15:19
"094","9",9,2018-11-19 14:23:33,2018-11-19 14:27:55
"094","9",10,2018-11-19 19:43:22,2018-11-19 19:46:40
"094","9",11,2018-11-19 19:51:26,2018-11-19 19:55:23
"094","9",12,2018-11-20 00:00:17,2018-11-20 00:00:17
"095","8",0,2018-11-19 05:08:35,2018-11-19 05:08:35
"095","8",1,2018-11-19 05:40:39,2018-11-19 05:48:24
"095","8",2,2018-11-19 09:32:52,2018-11-19 09:46:16
"095","8",3,2018-11-19 14:59:41,2018-11-19 15:10:30
"095","8",4,2018-11-19 19:03:20,2018-11-19 19:14:50
"095","8",5,2018-11-19 19:18:00,2018-11-19 19:21:58
"095","8",6,2018-11-20 00:00:13,2018-11-20 00:00:13
"096","7A",0,2018-11-19 05:06:03,2018-11-19 05:06:03
"096","7A",1,2018-11-19 05:20:07,2018-11-19 05:30:13
"096","7A",2,2018-11-19 10:14:35,2018-11-19 10:19:25
"096","7A",3,2018-11-19 10:21:53,2018-11-19 10:28:45
"096","7A",4,2018-11-19 10:32:44,2018-11-19 10:32:44
"096","7A",5,2018-11-19 14:28:44,2018-11-19 14:31:38
"096","7A",6,2018-11-19 14:33:57,2018-11-19 14:42:31
"096","7A",7,2018-11-19 19:25:06,2018-11-19 19:35:00
"096","7A",8,2018-11-19 19:38:59,2018-11-19 19:38:59
"096","7A",9,2018-11-19 19:41:32,2018-11-19 19:42:50
"096","7A",10,2018-11-19 19:46:50,2018-11-19 19:46:50
"096","7A",11,2018-11-20 00:02:51,2018-11-20 00:02:51
"097","4",0,2018-11-19 12:55:28,2018-11-19 12:55:28
"097","4",1,2018-11-19 13:00:17,2018-11-19 13:03:51
"097","4",2,2018-11-19 19:11:13,2018-11-19 19:14:57
"097","4",3,2018-11-19 19:20:54,2018-11-19 19:25:33
