"vehicle","route","chunk","start_datetime","end_datetime"
"077","4A",0,2019-01-22 07:01:27,2019-01-22 07:01:27
"077","4A",1,2019-01-22 07:30:11,2019-01-22 07:31:27
"077","4A",2,2019-01-22 07:33:47,2019-01-22 07:34:20
"077","4A",3,2019-01-22 07:49:32,2019-01-22 07:49:41
"077","4A",4,2019-01-22 18:49:11,2019-01-22 18:50:59
"077","4A",5,2019-01-22 18:53:40,2019-01-22 18:55:09
"077","4A",6,2019-01-22 18:59:08,2019-01-22 19:03:16
"077","4A",7,2019-01-22 21:16:52,2019-01-22 21:17:27
"077","4A",8,2019-01-23 00:00:09,2019-01-23 00:00:09
"077","4A",9,2019-01-23 02:46:27,2019-01-23 02:49:03
"078","9",0,2019-01-22 06:38:26,2019-01-22 06:38:26
"078","9",1,2019-01-22 06:54:17,2019-01-22 06:54:37
"078","9",2,2019-01-22 07:05:01,2019-01-22 07:05:26
"078","9",3,2019-01-22 07:12:36,2019-01-22 07:18:04
"078","9",4,2019-01-22 09:55:11,2019-01-22 10:04:00
"078","9",5,2019-01-22 13:15:17,2019-01-22 13:16:47
"078","9",6,2019-01-22 13:20:05,2019-01-22 13:22:40
"078","9",7,2019-01-22 13:25:40,2019-01-22 13:26:10
"078","9",8,2019-01-22 13:28:27,2019-01-22 13:28:36
"078","9",9,2019-01-22 13:45:33,2019-01-22 13:52:29
"078","9",10,2019-01-22 19:00:18,2019-01-22 19:04:57
"078","9",11,2019-01-22 19:08:48,2019-01-22 19:14:31
"078","9",12,2019-01-22 19:24:27,2019-01-22 19:26:02
"078","9",13,2019-01-22 19:30:15,2019-01-22 19:30:25
"078","9",14,2019-01-22 19:38:57,2019-01-22 19:44:17
"078","9",15,2019-01-22 19:47:17,2019-01-22 19:52:02
"078","9",16,2019-01-22 20:02:17,2019-01-22 20:02:27
"079","3",0,2019-01-22 07:34:09,2019-01-22 07:35:30
"079","3",1,2019-01-22 21:03:23,2019-01-22 21:07:06
"079","3",2,2019-01-22 21:09:58,2019-01-22 21:15:36
"079","3",3,2019-01-22 21:29:06,2019-01-22 21:29:36
"079","3",4,2019-01-22 21:52:35,2019-01-22 21:53:05
"079","3",5,2019-01-22 22:10:51,2019-01-22 22:11:29
"079","3",6,2019-01-22 23:11:42,2019-01-22 23:13:46
