"vehicle","route","chunk","start_datetime","end_datetime"
"077","15A",0,2018-12-15 18:43:38,2018-12-15 18:43:38
"079","5A",0,2018-12-15 07:47:07,2018-12-15 07:49:49
"079","5A",1,2018-12-15 07:59:50,2018-12-15 08:00:48
"079","5A",2,2018-12-15 08:05:48,2018-12-15 08:25:48
"079","5A",3,2018-12-15 17:39:01,2018-12-15 18:04:00
"079","5A",4,2018-12-15 18:08:00,2018-12-15 18:08:43
"079","5A",5,2018-12-16 00:00:15,2018-12-16 00:00:15
"081","1",0,2018-12-15 06:41:43,2018-12-15 06:41:43
"081","7",0,2018-12-15 15:48:27,2018-12-15 15:48:46
"081","7",1,2018-12-15 16:01:09,2018-12-15 16:06:53
"081","7",2,2018-12-15 16:14:34,2018-12-15 16:16:47
"082","1",0,2018-12-15 07:40:30,2018-12-15 07:40:50
"082","1",1,2018-12-15 07:48:40,2018-12-15 07:50:16
"082","1",2,2018-12-15 16:06:59,2018-12-15 16:15:25
"082","1",3,2018-12-15 18:46:56,2018-12-15 18:48:52
"082","1",4,2018-12-15 18:53:43,2018-12-15 18:56:39
"082","1",5,2018-12-15 18:59:47,2018-12-15 19:01:11
"082","1",6,2018-12-15 22:24:24,2018-12-15 22:26:03
"082","1",7,2018-12-16 00:00:55,2018-12-16 00:00:55
"084","2",0,2018-12-15 05:34:31,2018-12-15 05:34:31
"084","2",1,2018-12-15 05:46:08,2018-12-15 05:47:53
"084","2",2,2018-12-15 13:06:22,2018-12-15 13:12:57
"085","15A",0,2018-12-15 09:05:06,2018-12-15 09:06:38
"085","15A",1,2018-12-15 18:48:08,2018-12-15 18:49:41
"085","15A",2,2018-12-15 18:57:26,2018-12-15 18:57:57
"085","15A",3,2018-12-15 19:00:57,2018-12-15 19:03:10
"085","15A",4,2018-12-16 00:00:03,2018-12-16 00:00:03
"086","3",0,2018-12-15 06:13:27,2018-12-15 06:19:42
"086","3",1,2018-12-15 06:57:28,2018-12-15 06:59:52
"086","3",2,2018-12-15 07:11:45,2018-12-15 07:13:01
"086","3",3,2018-12-15 15:27:34,2018-12-15 15:29:29
"086","3",4,2018-12-15 15:33:40,2018-12-15 15:33:50
"086","3",5,2018-12-15 15:36:04,2018-12-15 15:40:45
"087","1",0,2018-12-15 07:54:32,2018-12-15 07:55:25
"087","1",1,2018-12-15 12:46:44,2018-12-15 12:50:05
"087","1",2,2018-12-15 12:53:48,2018-12-15 12:54:10
"087","1",3,2018-12-15 13:47:27,2018-12-15 13:47:37
"087","1",4,2018-12-15 13:57:13,2018-12-15 13:59:10
"087","1",5,2018-12-15 14:03:15,2018-12-15 14:03:25
"087","1",6,2018-12-15 15:45:43,2018-12-15 15:47:15
"087","1",7,2018-12-15 16:01:47,2018-12-15 16:02:19
"097","1",0,2018-12-15 07:38:37,2018-12-15 07:39:07
"097","1",1,2018-12-15 07:48:47,2018-12-15 07:51:00
"097","1",2,2018-12-15 13:12:05,2018-12-15 13:16:50
"097","1",3,2018-12-15 13:23:25,2018-12-15 13:28:19
"097","1",4,2018-12-15 14:14:31,2018-12-15 14:19:02
"097","8",0,2018-12-15 14:35:17,2018-12-15 14:51:12
"097","8",1,2018-12-15 14:56:58,2018-12-15 15:13:56
"097","8",2,2018-12-15 20:45:50,2018-12-15 20:47:34
"097","8",3,2018-12-16 00:00:06,2018-12-16 00:00:06
"098","15A",0,2018-12-15 09:26:37,2018-12-15 09:29:42
"098","15A",1,2018-12-15 19:13:16,2018-12-15 19:15:11
"098","15A",2,2018-12-15 19:19:32,2018-12-15 19:19:59
"098","15A",3,2018-12-16 00:00:03,2018-12-16 00:00:03
"1006","3",0,2018-12-15 15:23:22,2018-12-15 15:25:26
"1006","H3",0,2018-12-15 23:53:52,2018-12-15 23:55:32
"1006","H3",1,2018-12-16 00:00:02,2018-12-16 00:00:02
"1006","H3",2,2018-12-16 00:06:28,2018-12-16 00:06:56
