"vehicle","chunk","start_datetime","end_datetime"
"077",0,2018-12-02 11:34:10,2018-12-02 11:34:10
"079",0,2018-12-02 07:35:44,2018-12-02 08:03:02
"079",1,2018-12-02 08:10:33,2018-12-02 08:38:24
"079",2,2018-12-02 09:13:15,2018-12-02 11:57:24
"079",3,2018-12-02 12:28:51,2018-12-02 20:26:42
"079",4,2018-12-02 20:35:16,2018-12-02 20:35:46
"079",5,2018-12-02 21:01:08,2018-12-02 21:21:51
"079",6,2018-12-02 21:33:51,2018-12-02 22:26:43
"079",7,2018-12-02 22:32:43,2018-12-02 23:22:32
"079",8,2018-12-02 23:32:32,2018-12-03 00:22:02
"079",9,2018-12-03 02:07:33,2018-12-03 02:08:16
"079",10,2018-12-03 02:45:30,2018-12-03 02:48:28
"081",0,2018-12-02 05:31:24,2018-12-02 05:31:24
"081",1,2018-12-02 06:46:45,2018-12-02 08:18:52
"081",2,2018-12-02 08:46:23,2018-12-02 09:22:01
"081",3,2018-12-02 09:28:20,2018-12-02 10:45:17
"081",4,2018-12-02 11:15:11,2018-12-02 12:19:22
"081",5,2018-12-02 13:50:13,2018-12-02 15:33:37
"081",6,2018-12-02 18:01:25,2018-12-02 18:01:43
"081",7,2018-12-03 02:24:09,2018-12-03 02:24:09
"082",0,2018-12-02 06:18:16,2018-12-02 06:56:56
"082",1,2018-12-02 07:06:07,2018-12-02 20:26:46
"082",2,2018-12-03 00:00:39,2018-12-03 00:00:39
"084",0,2018-12-02 05:32:25,2018-12-02 05:32:25
"084",1,2018-12-02 05:46:02,2018-12-02 08:18:00
"084",2,2018-12-02 10:35:21,2018-12-02 11:59:43
"084",3,2018-12-02 12:23:43,2018-12-02 12:32:40
"084",4,2018-12-02 12:49:00,2018-12-02 13:12:54
"086",0,2018-12-02 07:02:59,2018-12-02 11:16:40
"086",1,2018-12-02 11:50:25,2018-12-02 13:07:56
"086",2,2018-12-02 14:06:55,2018-12-02 14:30:21
"086",3,2018-12-02 15:11:39,2018-12-02 20:40:13
"086",4,2018-12-02 21:00:41,2018-12-02 21:49:50
"086",5,2018-12-02 21:59:53,2018-12-02 22:51:28
"086",6,2018-12-02 23:01:07,2018-12-02 23:28:30
"086",7,2018-12-02 23:57:38,2018-12-03 00:00:44
"087",0,2018-12-02 07:45:13,2018-12-02 21:17:38
"087",1,2018-12-02 21:45:32,2018-12-02 21:45:47
"087",2,2018-12-03 00:00:04,2018-12-03 00:00:04
"087",3,2018-12-03 02:33:58,2018-12-03 02:37:18
"088",0,2018-12-02 07:14:57,2018-12-02 09:47:12
"088",1,2018-12-02 09:54:02,2018-12-02 11:01:59
"088",2,2018-12-02 11:30:12,2018-12-02 11:33:52
"088",3,2018-12-02 12:11:22,2018-12-02 12:11:32
"088",4,2018-12-02 12:28:10,2018-12-02 13:24:53
"088",5,2018-12-02 13:38:03,2018-12-02 13:55:50
"088",6,2018-12-02 14:29:49,2018-12-02 14:31:18
"088",7,2018-12-02 20:40:07,2018-12-02 20:42:40
"1017",0,2018-12-02 06:40:00,2018-12-02 06:40:00
"1017",1,2018-12-02 06:53:41,2018-12-02 07:43:19
"1017",2,2018-12-02 07:49:40,2018-12-02 09:25:55
"1017",3,2018-12-02 09:31:44,2018-12-02 11:08:46
"1017",4,2018-12-02 11:48:00,2018-12-02 21:05:25
"1028",0,2018-12-02 07:41:02,2018-12-02 10:59:18
"1028",1,2018-12-02 11:31:05,2018-12-02 21:46:36
"1028",2,2018-12-03 00:01:36,2018-12-03 00:01:36
