"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"1679TH",0,0,596,0.419525325172209,2018-11-25 09:53:37,5,"53A-1679TH-0"
"1679TH",1,0,597,0.46842518672297,2018-11-25 09:56:20,0,"53A-1679TH-0"
"1676TH",0,0,596,0.419525325172209,2018-11-25 09:56:32,5,"53A-1676TH-0"
"1679TH",2,0,598,0.49080474825121,2018-11-25 09:58:46,3,"53A-1679TH-0"
"1679TH",3,0,599,0.505955643506436,2018-11-25 10:00:01,0,"53A-1679TH-0"
"1679TH",4,0,600,0.533187881045543,2018-11-25 10:01:17,2,"53A-1679TH-0"
"1679TH",5,0,601,0.584801297549189,2018-11-25 10:03:43,3,"53A-1679TH-0"
"1679TH",6,0,602,0.624291894632294,2018-11-25 10:05:19,1,"53A-1679TH-0"
"1679TH",7,0,603,0.662185613658879,2018-11-25 10:07:22,5,"53A-1679TH-0"
"1679TH",8,0,604,0.72450095762779,2018-11-25 10:09:13,1,"53A-1679TH-0"
"1680TH",0,0,596,0.419525325172209,2018-11-25 10:09:33,5,"53A-1680TH-0"
"1679TH",9,0,605,0.756451241285734,2018-11-25 10:10:23,1,"53A-1679TH-0"
"1680TH",1,0,597,0.46842518672297,2018-11-25 10:11:50,0,"53A-1680TH-0"
"1680TH",2,0,598,0.49080474825121,2018-11-25 10:12:55,0,"53A-1680TH-0"
"1680TH",3,0,599,0.505955643506436,2018-11-25 10:13:16,0,"53A-1680TH-0"
"1679TH",10,0,606,0.788738905316075,2018-11-25 10:13:21,11,"53A-1679TH-0"
"1679TH",11,0,607,0.828473509197723,2018-11-25 10:14:13,0,"53A-1679TH-0"
"1680TH",4,0,600,0.533187881045543,2018-11-25 10:15:02,1,"53A-1680TH-0"
"1679TH",12,0,608,0.855617245750311,2018-11-25 10:15:29,2,"53A-1679TH-0"
"1680TH",5,0,601,0.584801297549189,2018-11-25 10:17:49,1,"53A-1680TH-0"
"1679TH",13,0,609,0.901893539482529,2018-11-25 10:18:07,3,"53A-1679TH-0"
"1680TH",6,0,602,0.624291894632294,2018-11-25 10:19:32,2,"53A-1680TH-0"
"1680TH",7,0,603,0.662185613658879,2018-11-25 10:21:19,2,"53A-1680TH-0"
"1676TH",1,1,627,0.646653658211705,2018-11-25 10:21:45,0,"53A-1676TH-1"
"1676TH",2,1,628,0.661363354605513,2018-11-25 10:22:18,0,"53A-1676TH-1"
"1679TH",14,0,610,0.946294086999221,2018-11-25 10:22:32,30,"53A-1679TH-0"
"1676TH",3,1,629,0.697055739667531,2018-11-25 10:23:27,0,"53A-1676TH-1"
"1680TH",8,0,604,0.72450095762779,2018-11-25 10:24:11,5,"53A-1680TH-0"
"1676TH",4,1,630,0.716932743853024,2018-11-25 10:24:13,0,"53A-1676TH-1"
"1679TH",15,0,611,1,2018-11-25 10:24:40,1,"53A-1679TH-0"
"1679TH",16,1,612,5.32803888024437e-05,2018-11-25 10:25:08,2,"53A-1679TH-1"
"1680TH",9,0,605,0.756451241285734,2018-11-25 10:25:50,8,"53A-1680TH-0"
"1679TH",17,1,613,0.0221420594216054,2018-11-25 10:26:40,0,"53A-1679TH-1"
"1680TH",10,0,606,0.788738905316075,2018-11-25 10:27:20,1,"53A-1680TH-0"
"1676TH",5,0,589,0.212241876376867,2018-11-25 10:27:36,0,"53A-1676TH-2"
"1680TH",11,0,607,0.828473509197723,2018-11-25 10:28:05,3,"53A-1680TH-0"
"1680TH",12,0,608,0.855617245750311,2018-11-25 10:29:09,0,"53A-1680TH-0"
"1679TH",18,1,614,0.0664029968752921,2018-11-25 10:29:25,3,"53A-1679TH-1"
"1679TH",19,1,615,0.0811152646094905,2018-11-25 10:30:37,3,"53A-1679TH-1"
"1680TH",13,0,609,0.901893539482529,2018-11-25 10:31:07,4,"53A-1680TH-0"
"1679TH",20,1,616,0.150240555655508,2018-11-25 10:33:04,1,"53A-1679TH-1"
"1680TH",14,0,610,0.946294086999221,2018-11-25 10:33:56,15,"53A-1680TH-0"
"1679TH",21,1,617,0.191425924560063,2018-11-25 10:34:40,2,"53A-1679TH-1"
"1680TH",15,0,611,1,2018-11-25 10:35:44,4,"53A-1680TH-0"
"1680TH",16,1,612,5.32803888024437e-05,2018-11-25 10:35:55,1,"53A-1680TH-1"
"1680TH",17,1,613,0.0221420594216054,2018-11-25 10:37:05,0,"53A-1680TH-1"
"1679TH",22,1,618,0.247786401684175,2018-11-25 10:37:45,4,"53A-1679TH-1"
"1680TH",18,1,614,0.0664029968752921,2018-11-25 10:38:33,0,"53A-1680TH-1"
"1680TH",19,1,615,0.0811152646094905,2018-11-25 10:39:38,0,"53A-1680TH-1"
"1679TH",23,1,619,0.302235966063294,2018-11-25 10:40:17,6,"53A-1679TH-1"
"1680TH",20,1,616,0.150240555655508,2018-11-25 10:42:01,2,"53A-1680TH-1"
"1679TH",24,1,620,0.350185781824501,2018-11-25 10:42:14,4,"53A-1679TH-1"
"1680TH",21,1,617,0.191425924560063,2018-11-25 10:43:53,3,"53A-1680TH-1"
"1679TH",25,1,621,0.41210124043762,2018-11-25 10:44:33,2,"53A-1679TH-1"
"1679TH",26,1,622,0.457565857835098,2018-11-25 10:46:48,0,"53A-1679TH-1"
"1680TH",22,1,618,0.247786401684175,2018-11-25 10:48:04,7,"53A-1680TH-1"
"1679TH",27,1,623,0.512098949695758,2018-11-25 10:48:36,2,"53A-1679TH-1"
"1676TH",6,0,589,0.212241876376867,2018-11-25 10:48:56,0,"53A-1676TH-2"
"1679TH",28,1,624,0.534583261507753,2018-11-25 10:50:28,2,"53A-1679TH-1"
"1680TH",23,1,619,0.302235966063294,2018-11-25 10:50:35,6,"53A-1680TH-1"
"1679TH",29,1,625,0.57865475030388,2018-11-25 10:51:45,1,"53A-1679TH-1"
"1680TH",24,1,620,0.350185781824501,2018-11-25 10:53:00,4,"53A-1680TH-1"
"1679TH",30,1,626,0.613988444807691,2018-11-25 10:53:02,0,"53A-1679TH-1"
"1679TH",31,1,627,0.646653658211705,2018-11-25 10:54:45,0,"53A-1679TH-1"
"1680TH",25,1,621,0.41210124043762,2018-11-25 10:54:57,3,"53A-1680TH-1"
"1676TH",7,0,590,0.247936630804854,2018-11-25 10:55:05,29,"53A-1676TH-2"
"1679TH",32,1,628,0.661363354605513,2018-11-25 10:56:16,0,"53A-1679TH-1"
"1680TH",26,1,622,0.457565857835098,2018-11-25 10:57:14,7,"53A-1680TH-1"
"1679TH",33,1,629,0.697055739667531,2018-11-25 10:57:41,0,"53A-1679TH-1"
"1676TH",8,0,591,0.27568910775833,2018-11-25 10:58:06,1,"53A-1676TH-2"
"1679TH",34,1,630,0.716932743853024,2018-11-25 10:59:42,0,"53A-1679TH-1"
"1680TH",27,1,623,0.512098949695758,2018-11-25 10:59:56,2,"53A-1680TH-1"
"1676TH",9,0,592,0.303546717999246,2018-11-25 10:59:57,0,"53A-1676TH-2"
"1680TH",28,1,624,0.534583261507753,2018-11-25 11:01:23,5,"53A-1680TH-1"
"1680TH",29,1,625,0.57865475030388,2018-11-25 11:03:01,0,"53A-1680TH-1"
"1679TH",35,1,631,0.750429629879542,2018-11-25 11:03:25,0,"53A-1679TH-1"
"1676TH",10,0,593,0.330339619731935,2018-11-25 11:04:48,11,"53A-1676TH-2"
"1680TH",30,1,626,0.613988444807691,2018-11-25 11:05:18,2,"53A-1680TH-1"
"1676TH",11,0,594,0.353042026482814,2018-11-25 11:05:45,0,"53A-1676TH-2"
"1680TH",31,1,627,0.646653658211705,2018-11-25 11:06:30,0,"53A-1680TH-1"
