"vehicle","chunk","start_datetime","end_datetime"
"1058",0,2018-11-17 08:01:09,2018-11-17 11:59:39
"1058",1,2018-11-17 12:25:29,2018-11-17 13:12:07
"1058",2,2018-11-17 13:17:38,2018-11-17 14:47:34
"1058",3,2018-11-17 14:57:24,2018-11-17 18:04:00
"1058",4,2018-11-17 18:13:21,2018-11-17 18:14:01
"1061",0,2018-11-17 06:56:21,2018-11-17 11:09:12
"1061",1,2018-11-17 11:43:35,2018-11-17 20:55:28
"1061",2,2018-11-17 21:01:37,2018-11-17 21:05:02
"1061",3,2018-11-17 21:25:37,2018-11-17 21:26:16
"1061",4,2018-11-17 22:33:04,2018-11-17 22:35:35
"1061",5,2018-11-18 00:00:05,2018-11-18 00:00:05
"1061",6,2018-11-18 03:55:33,2018-11-18 03:59:59
"1067",0,2018-11-17 06:34:54,2018-11-17 06:35:35
"1067",1,2018-11-17 06:47:04,2018-11-17 07:24:50
"1067",2,2018-11-17 07:30:31,2018-11-17 10:20:45
"1067",3,2018-11-17 10:50:45,2018-11-17 20:17:40
"1067",4,2018-11-17 20:22:50,2018-11-17 20:59:57
"1067",5,2018-11-17 21:06:55,2018-11-17 21:11:35
"1067",6,2018-11-17 21:44:14,2018-11-17 21:44:24
"1067",7,2018-11-17 21:50:23,2018-11-17 21:50:32
"1067",8,2018-11-17 22:39:07,2018-11-17 22:40:16
"1067",9,2018-11-18 00:00:06,2018-11-18 00:00:06
"1068",0,2018-11-17 08:28:49,2018-11-17 08:32:08
"1068",1,2018-11-17 08:44:57,2018-11-17 09:59:42
"1068",2,2018-11-17 10:04:54,2018-11-17 10:47:34
"1068",3,2018-11-17 10:52:35,2018-11-17 12:23:07
"1068",4,2018-11-17 12:30:37,2018-11-17 13:10:02
"1068",5,2018-11-17 13:40:32,2018-11-17 16:48:18
"1068",6,2018-11-17 16:54:03,2018-11-17 17:36:43
"1068",7,2018-11-17 17:44:41,2018-11-17 18:29:00
"1069",0,2018-11-17 06:56:24,2018-11-17 06:56:24
"1069",1,2018-11-17 07:18:17,2018-11-17 08:02:29
"1069",2,2018-11-17 08:07:39,2018-11-17 10:49:24
"1069",3,2018-11-17 11:25:07,2018-11-17 14:08:53
"1069",4,2018-11-17 14:14:05,2018-11-17 20:32:41
"1069",5,2018-11-17 22:12:11,2018-11-17 22:12:29
"1069",6,2018-11-17 22:54:57,2018-11-17 22:55:06
"1069",7,2018-11-18 00:01:48,2018-11-18 00:01:48
"1069",8,2018-11-18 01:13:26,2018-11-18 01:16:25
"107",0,2018-11-17 07:49:53,2018-11-17 12:04:23
"107",1,2018-11-17 12:39:27,2018-11-17 18:32:11
"107",2,2018-11-17 18:40:51,2018-11-17 18:43:54
"107",3,2018-11-17 18:59:55,2018-11-17 19:00:15
"1187",0,2018-11-17 07:00:50,2018-11-17 09:56:03
"1187",1,2018-11-17 10:20:31,2018-11-17 12:08:18
"1187",2,2018-11-17 13:43:31,2018-11-17 14:46:32
"1187",3,2018-11-17 21:58:36,2018-11-17 22:05:47
"1187",4,2018-11-18 00:03:31,2018-11-18 00:03:31
"1199",0,2018-11-17 10:44:55,2018-11-17 11:33:26
"1199",1,2018-11-17 12:04:16,2018-11-17 21:22:14
"1199",2,2018-11-17 22:03:34,2018-11-17 22:04:12
"1199",3,2018-11-17 22:13:56,2018-11-17 22:15:15
"1199",4,2018-11-18 00:00:06,2018-11-18 00:00:06
"1219",0,2018-11-17 06:51:19,2018-11-17 11:18:26
"1219",1,2018-11-17 11:50:02,2018-11-17 16:13:17
"1219",2,2018-11-17 20:36:47,2018-11-17 20:43:57
"1219",3,2018-11-18 00:03:58,2018-11-18 00:03:58
"1226",0,2018-11-17 07:55:59,2018-11-17 08:03:59
"1226",1,2018-11-17 08:27:06,2018-11-17 11:36:23
"1226",2,2018-11-17 12:11:26,2018-11-17 21:04:41
"1226",3,2018-11-17 22:28:29,2018-11-17 22:34:22
"1226",4,2018-11-18 00:04:13,2018-11-18 00:04:13
"1227",0,2018-11-17 08:09:00,2018-11-17 11:40:20
"1227",1,2018-11-17 12:10:19,2018-11-17 12:12:01
"1227",2,2018-11-17 12:19:48,2018-11-17 18:02:00
"1228",0,2018-11-17 07:56:47,2018-11-17 12:13:07
"1228",1,2018-11-17 12:45:07,2018-11-17 18:43:38
"1228",2,2018-11-17 18:55:24,2018-11-17 18:58:35
"1228",3,2018-11-18 00:00:08,2018-11-18 00:00:08
"1238",0,2018-11-17 12:39:45,2018-11-17 12:44:49
"1238",1,2018-11-17 13:05:50,2018-11-17 20:05:39
"1238",2,2018-11-18 00:00:40,2018-11-18 00:00:40
"1240",0,2018-11-17 08:26:04,2018-11-17 08:31:32
"1240",1,2018-11-17 08:39:22,2018-11-17 08:52:47
"1240",2,2018-11-17 09:23:07,2018-11-17 18:37:18
"1254",0,2018-11-17 07:12:09,2018-11-17 07:12:19
"1254",1,2018-11-17 07:22:26,2018-11-17 07:22:35
"1254",2,2018-11-17 07:37:26,2018-11-17 12:26:00
"1254",3,2018-11-17 12:42:20,2018-11-17 12:42:30
"1254",4,2018-11-17 12:48:36,2018-11-17 17:33:31
"1254",5,2018-11-17 18:38:16,2018-11-17 18:42:05
"1254",6,2018-11-17 20:59:27,2018-11-17 20:59:56
"1254",7,2018-11-18 00:00:19,2018-11-18 00:00:19
"1270",0,2018-11-17 08:07:00,2018-11-17 12:32:00
"1270",1,2018-11-17 12:37:12,2018-11-17 12:42:12
"1270",2,2018-11-17 12:52:37,2018-11-17 12:57:36
"1270",3,2018-11-17 13:04:53,2018-11-17 19:04:41
"1270",4,2018-11-17 22:47:12,2018-11-17 22:53:13
"1270",5,2018-11-18 00:03:13,2018-11-18 00:03:13
"1280",0,2018-11-17 06:22:11,2018-11-17 10:42:48
"1280",1,2018-11-17 11:09:55,2018-11-17 12:15:30
"1280",2,2018-11-17 12:22:24,2018-11-17 22:25:57
"1280",3,2018-11-18 00:00:58,2018-11-18 00:00:58
"1285",0,2018-11-17 06:56:00,2018-11-17 06:56:00
"1285",1,2018-11-17 07:27:58,2018-11-17 21:01:51
"1285",2,2018-11-17 21:25:31,2018-11-17 21:25:55
"1285",3,2018-11-17 21:54:23,2018-11-17 21:59:17
"1285",4,2018-11-17 22:05:57,2018-11-17 22:06:36
"1285",5,2018-11-17 22:37:43,2018-11-17 22:37:53
"1285",6,2018-11-17 23:46:43,2018-11-17 23:47:45
"1285",7,2018-11-18 00:00:04,2018-11-18 00:00:04
"1672TH",0,2018-11-17 06:44:41,2018-11-17 06:45:01
"1672TH",1,2018-11-17 06:50:51,2018-11-17 11:12:16
"1672TH",2,2018-11-17 11:40:08,2018-11-17 18:45:39
"1672TH",3,2018-11-17 19:12:59,2018-11-17 22:20:00
"1672TH",4,2018-11-18 00:00:02,2018-11-18 00:00:02
"1673TH",0,2018-11-17 05:56:19,2018-11-17 07:34:15
"1673TH",1,2018-11-17 07:39:55,2018-11-17 10:33:12
"1673TH",2,2018-11-17 10:57:24,2018-11-17 14:50:07
"1673TH",3,2018-11-17 14:57:05,2018-11-17 15:12:59
"1673TH",4,2018-11-17 15:18:44,2018-11-17 19:36:05
"1673TH",5,2018-11-17 20:01:11,2018-11-17 22:51:02
"1673TH",6,2018-11-17 22:56:57,2018-11-17 23:10:03
"1673TH",7,2018-11-18 00:00:05,2018-11-18 00:00:05
"1674TH",0,2018-11-17 06:34:35,2018-11-17 06:55:03
"1674TH",1,2018-11-17 07:23:19,2018-11-17 07:36:47
"1674TH",2,2018-11-17 07:55:51,2018-11-17 08:16:01
"1674TH",3,2018-11-17 08:34:42,2018-11-17 11:25:04
"1674TH",4,2018-11-17 11:53:06,2018-11-17 16:04:27
"1674TH",5,2018-11-17 16:11:42,2018-11-17 18:57:25
"1674TH",6,2018-11-17 19:06:30,2018-11-17 20:26:54
"1674TH",7,2018-11-17 20:54:03,2018-11-17 22:41:07
"1674TH",8,2018-11-17 22:58:45,2018-11-17 22:59:29
"1674TH",9,2018-11-17 23:06:24,2018-11-17 23:08:48
"1674TH",10,2018-11-18 00:00:15,2018-11-18 00:00:15
"1677TH",0,2018-11-17 05:29:46,2018-11-17 07:09:51
"1677TH",1,2018-11-17 07:18:41,2018-11-17 08:34:25
"1677TH",2,2018-11-17 08:44:37,2018-11-17 10:01:15
"1677TH",3,2018-11-17 10:37:22,2018-11-17 11:53:29
"1677TH",4,2018-11-17 12:01:31,2018-11-17 14:47:56
"1677TH",5,2018-11-17 14:53:05,2018-11-17 16:10:23
"1677TH",6,2018-11-17 16:19:06,2018-11-17 17:42:57
"1677TH",7,2018-11-17 17:49:02,2018-11-17 19:04:18
"1677TH",8,2018-11-17 19:33:49,2018-11-17 20:49:39
"1677TH",9,2018-11-17 21:01:56,2018-11-17 22:23:30
"1677TH",10,2018-11-17 22:29:13,2018-11-17 22:40:21
"1677TH",11,2018-11-18 00:00:00,2018-11-18 00:00:00
"1678TH",0,2018-11-17 06:18:34,2018-11-17 06:30:09
"1678TH",1,2018-11-17 06:41:16,2018-11-17 09:34:21
"1678TH",2,2018-11-17 09:39:26,2018-11-17 11:05:38
"1678TH",3,2018-11-17 11:28:40,2018-11-17 17:08:52
"1678TH",4,2018-11-17 17:14:33,2018-11-17 18:31:12
"1678TH",5,2018-11-17 18:37:13,2018-11-17 19:58:25
"1678TH",6,2018-11-17 20:30:00,2018-11-17 23:06:00
"1678TH",7,2018-11-17 23:14:11,2018-11-17 23:19:46
"1678TH",8,2018-11-17 23:26:20,2018-11-17 23:43:49
"1678TH",9,2018-11-18 00:00:05,2018-11-18 00:00:05
"1679TH",0,2018-11-17 05:51:22,2018-11-17 05:51:40
"1679TH",1,2018-11-17 05:56:56,2018-11-17 06:03:06
"1679TH",2,2018-11-17 06:10:11,2018-11-17 06:14:19
"1679TH",3,2018-11-17 06:21:07,2018-11-17 06:24:30
"1679TH",4,2018-11-17 06:36:44,2018-11-17 07:55:54
"1679TH",5,2018-11-17 08:07:24,2018-11-17 09:25:14
"1679TH",6,2018-11-17 09:33:38,2018-11-17 10:47:39
"1679TH",7,2018-11-17 11:23:34,2018-11-17 14:11:35
"1679TH",8,2018-11-17 14:17:01,2018-11-17 15:16:22
"1679TH",9,2018-11-17 15:23:07,2018-11-17 19:53:00
"1679TH",10,2018-11-17 20:26:17,2018-11-17 23:00:18
"1679TH",11,2018-11-17 23:12:15,2018-11-17 23:31:54
"1679TH",12,2018-11-18 00:00:23,2018-11-18 00:00:23
"1681TH",0,2018-11-17 06:00:14,2018-11-17 06:00:48
"1681TH",1,2018-11-17 06:06:52,2018-11-17 06:15:38
"1681TH",2,2018-11-17 06:25:37,2018-11-17 06:30:23
"1681TH",3,2018-11-17 07:04:56,2018-11-17 12:47:43
"1681TH",4,2018-11-17 13:16:09,2018-11-17 20:06:51
"1681TH",5,2018-11-17 20:21:15,2018-11-17 21:44:39
"1681TH",6,2018-11-17 21:50:09,2018-11-17 22:05:40
"1681TH",7,2018-11-18 00:00:10,2018-11-18 00:00:10
"1682TH",0,2018-11-17 05:39:53,2018-11-17 05:40:22
"1682TH",1,2018-11-17 05:56:52,2018-11-17 06:03:09
"1682TH",2,2018-11-17 06:10:08,2018-11-17 06:24:14
"1682TH",3,2018-11-17 06:58:30,2018-11-17 06:58:44
"1682TH",4,2018-11-17 07:06:00,2018-11-17 08:23:50
"1682TH",5,2018-11-17 08:32:34,2018-11-17 11:18:13
"1682TH",6,2018-11-17 11:42:55,2018-11-17 17:26:25
"1682TH",7,2018-11-17 17:31:29,2018-11-17 18:53:08
"1682TH",8,2018-11-17 18:58:36,2018-11-17 20:16:21
"1682TH",9,2018-11-17 20:30:59,2018-11-17 21:53:50
"1682TH",10,2018-11-17 22:01:26,2018-11-17 22:05:07
"1682TH",11,2018-11-17 22:13:08,2018-11-17 22:25:15
"1682TH",12,2018-11-18 00:00:04,2018-11-18 00:00:04
"1683TH",0,2018-11-17 06:36:19,2018-11-17 06:36:40
"1683TH",1,2018-11-17 06:44:46,2018-11-17 06:56:49
"1683TH",2,2018-11-17 07:10:41,2018-11-17 07:12:09
"1683TH",3,2018-11-17 07:30:02,2018-11-17 07:30:16
"1683TH",4,2018-11-17 09:51:11,2018-11-17 09:58:24
"1683TH",5,2018-11-18 00:00:02,2018-11-18 00:00:02
"1685TH",0,2018-11-17 05:40:09,2018-11-17 05:52:11
"1685TH",1,2018-11-17 05:58:46,2018-11-17 06:02:46
"1685TH",2,2018-11-17 06:13:15,2018-11-17 07:19:41
"1685TH",3,2018-11-17 07:31:01,2018-11-17 08:46:49
"1685TH",4,2018-11-17 08:57:12,2018-11-17 10:16:03
"1685TH",5,2018-11-17 10:22:45,2018-11-17 11:49:10
"1685TH",6,2018-11-17 12:10:12,2018-11-17 20:49:04
"1685TH",7,2018-11-17 20:54:22,2018-11-17 21:06:34
"1685TH",8,2018-11-18 00:00:04,2018-11-18 00:00:04
"1686TH",0,2018-11-17 05:28:59,2018-11-17 05:41:12
"1686TH",1,2018-11-17 05:48:33,2018-11-17 10:14:41
"1686TH",2,2018-11-17 10:40:21,2018-11-17 19:13:56
"1686TH",3,2018-11-17 19:27:31,2018-11-17 19:27:41
"1686TH",4,2018-11-17 19:41:55,2018-11-17 20:58:53
"1686TH",5,2018-11-17 21:07:25,2018-11-17 22:46:43
"1686TH",6,2018-11-17 22:52:16,2018-11-17 22:53:23
"1686TH",7,2018-11-17 22:59:15,2018-11-17 23:00:11
"1686TH",8,2018-11-18 00:02:25,2018-11-18 00:02:25
"1687TH",0,2018-11-17 05:43:19,2018-11-17 05:53:32
"1687TH",1,2018-11-17 05:58:45,2018-11-17 05:59:12
"1687TH",2,2018-11-17 06:15:45,2018-11-17 07:41:57
"1687TH",3,2018-11-17 07:48:19,2018-11-17 10:31:41
"1687TH",4,2018-11-17 11:06:34,2018-11-17 13:50:54
"1687TH",5,2018-11-17 13:56:34,2018-11-17 15:16:16
"1687TH",6,2018-11-17 15:22:23,2018-11-17 18:10:20
"1687TH",7,2018-11-17 18:18:34,2018-11-17 19:43:01
"1687TH",8,2018-11-17 20:05:33,2018-11-17 22:51:34
"1687TH",9,2018-11-17 23:00:47,2018-11-17 23:09:38
"1687TH",10,2018-11-18 00:00:07,2018-11-18 00:00:07
"1688TH",0,2018-11-17 08:00:25,2018-11-17 08:04:02
"1688TH",1,2018-11-17 08:18:20,2018-11-17 10:56:49
"1688TH",2,2018-11-17 11:17:55,2018-11-17 19:47:52
"1688TH",3,2018-11-17 19:53:31,2018-11-17 21:41:15
"1688TH",4,2018-11-18 00:00:02,2018-11-18 00:00:02
"2007",0,2018-11-17 07:39:13,2018-11-17 07:39:42
"2007",1,2018-11-17 07:45:13,2018-11-17 21:08:15
"2007",2,2018-11-17 21:14:15,2018-11-17 21:14:53
"2007",3,2018-11-18 00:00:25,2018-11-18 00:00:25
"2012",0,2018-11-17 13:01:37,2018-11-17 21:41:29
"2012",1,2018-11-17 21:47:29,2018-11-17 21:51:35
"2012",2,2018-11-18 00:00:05,2018-11-18 00:00:05
"2018",0,2018-11-17 14:25:45,2018-11-17 21:26:13
"2018",1,2018-11-18 00:01:14,2018-11-18 00:01:14
"2027",0,2018-11-17 08:53:23,2018-11-17 08:53:52
"2027",1,2018-11-17 09:15:22,2018-11-17 09:15:59
"2027",2,2018-11-17 09:27:24,2018-11-17 12:27:09
"2027",3,2018-11-17 13:18:08,2018-11-17 13:18:37
"2027",4,2018-11-17 15:43:19,2018-11-17 19:16:48
"2027",5,2018-11-18 00:00:21,2018-11-18 00:00:21
"2033",0,2018-11-17 07:47:06,2018-11-17 08:33:41
"2033",1,2018-11-17 09:03:05,2018-11-17 09:04:00
"2033",2,2018-11-17 09:13:30,2018-11-17 12:33:27
"2033",3,2018-11-17 20:36:23,2018-11-17 20:37:20
"2033",4,2018-11-18 00:00:13,2018-11-18 00:00:13
"2033",5,2018-11-18 01:42:11,2018-11-18 01:43:04
"2034",0,2018-11-17 09:53:09,2018-11-17 11:02:08
"2034",1,2018-11-17 12:19:14,2018-11-17 12:33:06
"2034",2,2018-11-17 18:11:13,2018-11-17 18:14:44
"2042",0,2018-11-17 06:40:24,2018-11-17 06:40:39
"2042",1,2018-11-17 06:59:06,2018-11-17 07:00:27
"2042",2,2018-11-17 07:05:47,2018-11-17 09:39:21
"2042",3,2018-11-17 09:44:52,2018-11-17 21:36:49
"2042",4,2018-11-17 21:47:10,2018-11-17 21:50:28
"2042",5,2018-11-18 00:00:50,2018-11-18 00:00:50
"2043",0,2018-11-17 07:00:57,2018-11-17 07:04:58
"2043",1,2018-11-17 07:17:35,2018-11-17 07:20:00
"2043",2,2018-11-17 07:39:00,2018-11-17 12:06:31
"2043",3,2018-11-17 12:56:24,2018-11-17 18:14:34
"2048",0,2018-11-17 06:24:27,2018-11-17 17:34:17
"2048",1,2018-11-17 18:17:26,2018-11-17 21:52:09
"2048",2,2018-11-17 22:01:01,2018-11-17 22:52:48
"2048",3,2018-11-17 23:00:40,2018-11-17 23:26:59
"2048",4,2018-11-17 23:38:59,2018-11-18 00:03:29
"2048",5,2018-11-18 00:46:07,2018-11-18 00:50:11
"2048",6,2018-11-18 01:21:57,2018-11-18 01:30:12
"2049",0,2018-11-17 10:47:10,2018-11-17 11:24:18
"2049",1,2018-11-17 11:33:49,2018-11-17 13:03:45
"2049",2,2018-11-17 13:10:15,2018-11-17 14:44:08
"2049",3,2018-11-17 14:49:15,2018-11-17 16:21:39
"2049",4,2018-11-17 16:27:40,2018-11-17 19:01:48
"2049",5,2018-11-17 22:37:37,2018-11-17 22:38:26
"2049",6,2018-11-18 00:00:27,2018-11-18 00:00:27
"2059",0,2018-11-17 15:08:32,2018-11-17 15:08:41
"2059",1,2018-11-17 15:42:02,2018-11-17 21:44:48
"2059",2,2018-11-18 00:00:10,2018-11-18 00:00:10
"2074",0,2018-11-17 08:20:09,2018-11-17 08:49:40
"2074",1,2018-11-17 08:59:59,2018-11-17 19:22:58
"2075",0,2018-11-17 08:19:00,2018-11-17 08:19:00
"2075",1,2018-11-17 08:43:57,2018-11-17 13:01:59
"2075",2,2018-11-17 13:37:49,2018-11-17 19:37:30
"2075",3,2018-11-17 19:43:47,2018-11-17 19:45:30
"2075",4,2018-11-18 00:00:05,2018-11-18 00:00:05
"2209",0,2018-11-17 08:41:57,2018-11-17 08:44:38
"2209",1,2018-11-17 09:07:13,2018-11-17 13:19:44
"2209",2,2018-11-17 13:55:09,2018-11-17 18:54:17
"2209",3,2018-11-17 19:00:38,2018-11-17 19:52:47
"2209",4,2018-11-18 00:00:49,2018-11-18 00:00:49
"2222",0,2018-11-17 13:12:53,2018-11-17 19:48:37
"2222",1,2018-11-18 00:06:21,2018-11-18 00:06:21
"2231",0,2018-11-17 06:31:07,2018-11-17 06:32:59
"2231",1,2018-11-17 08:21:59,2018-11-17 08:22:38
"2231",2,2018-11-17 08:29:17,2018-11-17 08:29:47
"2231",3,2018-11-17 08:42:15,2018-11-17 12:22:35
"2231",4,2018-11-17 12:47:25,2018-11-17 18:36:38
"2231",5,2018-11-17 18:47:48,2018-11-17 18:52:03
"2231",6,2018-11-17 20:59:34,2018-11-17 21:01:44
"2250",0,2018-11-17 15:07:33,2018-11-17 15:18:30
"2272",0,2018-11-17 06:17:16,2018-11-17 08:52:35
"2272",1,2018-11-17 08:57:36,2018-11-17 15:23:04
"2272",2,2018-11-17 15:28:50,2018-11-17 20:32:44
"2272",3,2018-11-17 20:58:05,2018-11-17 21:23:10
"2272",4,2018-11-17 21:30:20,2018-11-17 21:49:02
"2272",5,2018-11-17 22:01:13,2018-11-17 22:22:30
"2272",6,2018-11-17 22:34:11,2018-11-17 22:52:35
"2272",7,2018-11-17 23:01:36,2018-11-17 23:23:10
"2272",8,2018-11-17 23:32:21,2018-11-18 00:03:58
"2272",9,2018-11-18 00:10:48,2018-11-18 01:21:48
"2272",10,2018-11-18 01:35:49,2018-11-18 01:39:56
"2275",0,2018-11-17 07:11:58,2018-11-17 09:25:54
"2275",1,2018-11-17 09:31:14,2018-11-17 09:55:04
"2275",2,2018-11-17 10:22:41,2018-11-17 10:36:49
"2275",3,2018-11-17 11:26:07,2018-11-17 11:48:26
"2275",4,2018-11-17 12:42:46,2018-11-17 12:45:22
"2275",5,2018-11-17 13:20:25,2018-11-17 13:26:52
"2277",0,2018-11-17 08:29:59,2018-11-17 12:05:20
"2277",1,2018-11-17 13:16:51,2018-11-17 13:25:21
"2277",2,2018-11-17 13:48:51,2018-11-17 13:50:08
"2277",3,2018-11-17 13:55:38,2018-11-17 16:48:56
"2277",4,2018-11-17 16:54:57,2018-11-17 18:30:52
"2277",5,2018-11-17 19:34:06,2018-11-17 19:55:23
"2277",6,2018-11-17 22:46:10,2018-11-17 22:47:26
"2277",7,2018-11-17 22:59:38,2018-11-17 23:00:07
"2277",8,2018-11-18 00:00:08,2018-11-18 00:00:08
"2277",9,2018-11-18 02:01:35,2018-11-18 02:02:59
"2288",0,2018-11-17 06:29:53,2018-11-17 06:29:53
"2288",1,2018-11-17 06:35:42,2018-11-17 08:57:47
"2288",2,2018-11-17 09:03:16,2018-11-17 10:47:52
"2288",3,2018-11-17 11:16:16,2018-11-17 14:35:06
"2288",4,2018-11-17 14:40:47,2018-11-17 20:50:29
"2288",5,2018-11-17 21:31:59,2018-11-17 22:21:16
