"vehicle","route","chunk","start_datetime","end_datetime"
"079","7",0,2018-12-30 06:31:05,2018-12-30 06:32:12
"079","7",1,2018-12-30 06:44:35,2018-12-30 06:46:42
"079","7",2,2018-12-30 06:49:39,2018-12-30 06:55:01
"079","7",3,2018-12-30 15:16:42,2018-12-30 15:30:32
"079","7",4,2018-12-30 18:13:28,2018-12-30 18:13:58
"079","7",5,2018-12-30 19:08:56,2018-12-30 19:08:56
"079","7",6,2018-12-30 19:30:01,2018-12-30 19:30:01
"079","7",7,2018-12-30 20:19:58,2018-12-30 20:23:18
"079","7",8,2018-12-31 00:05:20,2018-12-31 00:05:20
"079","7",9,2018-12-31 02:24:09,2018-12-31 02:24:09
"081","2",0,2018-12-30 07:00:46,2018-12-30 07:00:46
"081","2",1,2018-12-30 07:35:14,2018-12-30 07:35:42
"081","2",2,2018-12-30 07:38:47,2018-12-30 07:40:35
"081","2",3,2018-12-30 10:15:54,2018-12-30 10:20:05
"081","2",4,2018-12-30 21:56:52,2018-12-30 21:57:10
"081","2",5,2018-12-30 22:29:28,2018-12-30 22:29:45
"081","2",6,2018-12-30 23:00:24,2018-12-30 23:00:34
"081","2",7,2018-12-30 23:21:23,2018-12-30 23:23:20
"081","2",8,2018-12-31 00:00:11,2018-12-31 00:00:11
"081","2",9,2018-12-31 02:24:09,2018-12-31 02:24:09
"082","4",0,2018-12-30 04:14:16,2018-12-30 04:15:50
"082","4",1,2018-12-30 04:19:01,2018-12-30 04:20:21
"082","4",2,2018-12-30 07:06:59,2018-12-30 07:08:35
"082","H4",0,2018-12-30 23:14:45,2018-12-30 23:36:01
"082","H4",1,2018-12-31 00:00:02,2018-12-31 00:00:02
"082","H4",2,2018-12-31 00:31:42,2018-12-31 00:36:54
"083","5A",0,2018-12-30 07:38:50,2018-12-30 08:07:40
"083","5A",1,2018-12-30 17:06:18,2018-12-30 17:32:15
"083","5A",2,2018-12-30 17:34:44,2018-12-30 17:35:38
"083","5A",3,2018-12-30 19:14:40,2018-12-30 19:18:24
"083","5A",4,2018-12-31 00:00:26,2018-12-31 00:00:26
"086","3",0,2018-12-30 06:09:07,2018-12-30 06:10:35
"086","3",1,2018-12-30 20:09:36,2018-12-30 20:12:01
"086","3",2,2018-12-30 20:16:19,2018-12-30 20:16:57
"086","3",3,2018-12-30 20:22:25,2018-12-30 20:22:54
"086","3",4,2018-12-31 00:00:28,2018-12-31 00:00:28
"087","15A",0,2018-12-30 09:06:37,2018-12-30 09:08:10
"087","15A",1,2018-12-30 17:17:39,2018-12-30 17:21:05
"087","15A",2,2018-12-30 17:24:47,2018-12-30 17:25:10
"087","15A",3,2018-12-30 20:44:03,2018-12-30 20:46:11
"087","15A",4,2018-12-31 00:00:04,2018-12-31 00:00:04
"088","2",0,2018-12-30 07:36:48,2018-12-30 07:36:48
"088","2",1,2018-12-30 07:50:46,2018-12-30 07:52:12
"088","2",2,2018-12-30 18:32:55,2018-12-30 18:34:54
"088","2",3,2018-12-30 18:52:24,2018-12-30 18:52:34
"097","4",0,2018-12-30 06:38:16,2018-12-30 06:39:25
