"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"1187",0,0,796,0.563179688116061,2018-12-02 08:06:48,17,"5A-1187-0"
"1187",1,0,797,0.584032840501001,2018-12-02 08:07:48,0,"5A-1187-0"
"1187",2,0,798,0.610427711692125,2018-12-02 08:09:05,5,"5A-1187-0"
"1187",3,0,799,0.631025224381994,2018-12-02 08:11:25,1,"5A-1187-0"
"1187",4,0,800,0.738947810339751,2018-12-02 08:13:45,0,"5A-1187-0"
"1187",5,0,801,0.783164584086569,2018-12-02 08:14:58,0,"5A-1187-0"
"1187",6,0,802,0.819575732630755,2018-12-02 08:16:37,0,"5A-1187-0"
"1187",7,0,804,0.887809225978933,2018-12-02 08:18:57,1,"5A-1187-0"
"1187",8,0,805,0.922458268240276,2018-12-02 08:20:36,0,"5A-1187-0"
"1187",9,0,806,1,2018-12-02 08:25:02,0,"5A-1187-0"
"1068",0,1,816,0.405479754869887,2018-12-02 08:26:20,9,"5A-1068-0"
"1068",1,1,817,0.439893803161774,2018-12-02 08:27:27,0,"5A-1068-0"
"1187",10,1,807,0.000185369423874143,2018-12-02 08:28:16,0,"5A-1187-1"
"1187",11,1,808,0.0594019539891121,2018-12-02 08:30:37,0,"5A-1187-1"
"1068",2,1,818,0.487581991607755,2018-12-02 08:31:19,0,"5A-1068-0"
"1187",12,1,809,0.0807108706569484,2018-12-02 08:31:43,0,"5A-1187-1"
"1068",3,1,819,0.535746668570886,2018-12-02 08:33:00,0,"5A-1068-0"
"1187",13,1,810,0.136388603537178,2018-12-02 08:33:09,0,"5A-1187-1"
"1187",14,1,811,0.173597811595768,2018-12-02 08:34:26,0,"5A-1187-1"
"1068",4,1,820,0.549040484799152,2018-12-02 08:34:26,0,"5A-1068-0"
"1068",5,1,821,0.570885488728222,2018-12-02 08:35:13,0,"5A-1068-0"
"1187",15,1,812,0.199084725675038,2018-12-02 08:35:26,0,"5A-1187-1"
"1068",6,1,822,0.597038599157096,2018-12-02 08:35:49,0,"5A-1068-0"
"1187",16,1,813,0.243009799030008,2018-12-02 08:37:00,3,"5A-1187-1"
"1068",7,1,823,0.654097651746381,2018-12-02 08:37:46,0,"5A-1068-0"
"1068",8,1,824,0.687335914885114,2018-12-02 08:39:05,0,"5A-1068-0"
