"vehicle","chunk","direction","fraction","start_datetime","transactions","group"
"101",274,0,0.853304029423347,2018-08-09 06:51:46,21,"12-101-24"
"101",275,0,1,2018-08-09 06:52:56,0,"12-101-24"
"101",276,1,0.000677518435978624,2018-08-09 06:53:06,0,"12-101-25"
"101",277,1,0.136848160347602,2018-08-09 06:55:31,0,"12-101-25"
"101",278,1,0.19299211015708,2018-08-09 06:57:50,0,"12-101-25"
"101",279,1,0.303039839244284,2018-08-09 06:59:40,1,"12-101-25"
"101",280,1,0.391269053791425,2018-08-09 07:01:27,1,"12-101-25"
"101",281,1,0.472834997068035,2018-08-09 07:02:28,0,"12-101-25"
"101",282,1,0.509565516683319,2018-08-09 07:03:36,0,"12-101-25"
"101",283,1,0.598690391496404,2018-08-09 07:04:54,1,"12-101-25"
"101",284,1,0.648323821893758,2018-08-09 07:06:12,0,"12-101-25"
"2027",0,0,0.853304029423347,2018-08-09 07:06:44,14,"12-2027-0"
"101",285,1,0.73196647476087,2018-08-09 07:07:42,3,"12-101-25"
"2027",1,0,1,2018-08-09 07:07:47,0,"12-2027-0"
"2027",2,1,0.000677518435978624,2018-08-09 07:08:04,1,"12-2027-1"
"2027",3,1,0.136848160347602,2018-08-09 07:09:36,0,"12-2027-1"
"101",286,1,0.836336359299254,2018-08-09 07:09:41,0,"12-101-25"
"101",287,1,0.911721875078066,2018-08-09 07:10:47,0,"12-101-25"
"2027",4,1,0.19299211015708,2018-08-09 07:11:11,1,"12-2027-1"
"101",288,1,1,2018-08-09 07:12:25,0,"12-101-25"
"101",289,0,0.00133849943936237,2018-08-09 07:12:31,0,"12-101-26"
"2027",5,1,0.303039839244284,2018-08-09 07:13:08,0,"12-2027-1"
"1285",328,0,0.853304029423347,2018-08-09 07:14:36,31,"12-1285-30"
"2027",6,1,0.391269053791425,2018-08-09 07:15:13,1,"12-2027-1"
"1285",329,0,1,2018-08-09 07:15:32,0,"12-1285-30"
"1285",330,1,0.000677518435978624,2018-08-09 07:15:42,0,"12-1285-31"
"2027",7,1,0.472834997068035,2018-08-09 07:16:36,1,"12-2027-1"
"101",290,0,0.0752127784561694,2018-08-09 07:16:59,3,"12-101-26"
"101",291,0,0.12404645410996,2018-08-09 07:17:23,0,"12-101-26"
"2027",8,1,0.509565516683319,2018-08-09 07:17:37,2,"12-2027-1"
"101",292,0,0.15539288911319,2018-08-09 07:18:00,0,"12-101-26"
"1285",331,1,0.136848160347602,2018-08-09 07:18:39,2,"12-1285-31"
"2027",9,1,0.598690391496404,2018-08-09 07:18:52,1,"12-2027-1"
"101",293,0,0.244233960779325,2018-08-09 07:19:47,3,"12-101-26"
"1285",332,1,0.19299211015708,2018-08-09 07:20:09,4,"12-1285-31"
"2027",10,1,0.648323821893758,2018-08-09 07:20:23,0,"12-2027-1"
"101",294,0,0.313307409622087,2018-08-09 07:21:14,2,"12-101-26"
"1285",333,1,0.303039839244284,2018-08-09 07:21:49,1,"12-1285-31"
"2027",11,1,0.73196647476087,2018-08-09 07:22:05,0,"12-2027-1"
"101",295,0,0.382642525874351,2018-08-09 07:22:48,1,"12-101-26"
"101",296,0,0.449327677267666,2018-08-09 07:23:38,2,"12-101-26"
"2027",12,1,0.836336359299254,2018-08-09 07:23:53,0,"12-2027-1"
"1285",334,1,0.391269053791425,2018-08-09 07:24:00,1,"12-1285-31"
"531",35,0,0.853304029423347,2018-08-09 07:24:57,31,"12-531-4"
"2027",13,1,0.911721875078066,2018-08-09 07:24:58,0,"12-2027-1"
"101",297,0,0.505831950163495,2018-08-09 07:25:14,0,"12-101-26"
