"datetime","vehicle","kind","lon","lat","on_route"
2018-11-04 06:49:26,"1678TH",14,NA,NA,0
2018-11-04 21:42:19,"1683TH",14,NA,NA,0
2018-11-04 05:35:27,"1678TH",1,NA,NA,0
2018-11-04 05:35:45,"1678TH",27,NA,NA,0
2018-11-04 05:35:45,"1678TH",24,NA,NA,0
2018-11-04 05:35:45,"1678TH",25,NA,NA,0
2018-11-04 05:35:45,"1678TH",28,NA,NA,0
2018-11-04 05:49:45,"1678TH",14,NA,NA,0
2018-11-04 06:02:19,"1683TH",1,NA,NA,0
2018-11-04 06:08:48,"1687TH",1,NA,NA,0
2018-11-04 06:09:28,"1687TH",27,NA,NA,0
2018-11-04 06:09:28,"1687TH",24,NA,NA,0
2018-11-04 06:09:28,"1687TH",28,NA,NA,0
2018-11-04 06:09:28,"1687TH",25,NA,NA,0
2018-11-04 06:23:08,"1678TH",14,NA,NA,0
2018-11-04 06:23:27,"1672TH",1,NA,NA,0
2018-11-04 06:23:37,"1672TH",25,NA,NA,0
2018-11-04 06:23:37,"1672TH",27,NA,NA,0
2018-11-04 06:23:37,"1672TH",28,NA,NA,0
2018-11-04 06:23:37,"1672TH",24,NA,NA,0
2018-11-04 06:27:21,"1688TH",1,NA,NA,0
2018-11-04 06:27:33,"1688TH",28,NA,NA,0
2018-11-04 06:27:33,"1688TH",24,NA,NA,0
2018-11-04 06:27:33,"1688TH",27,NA,NA,0
2018-11-04 06:27:33,"1688TH",25,NA,NA,0
2018-11-04 06:28:28,"1678TH",14,NA,NA,0
2018-11-04 06:33:59,"1683TH",14,NA,NA,0
2018-11-04 06:34:06,"1683TH",14,NA,NA,0
2018-11-04 06:34:11,"1683TH",14,NA,NA,0
2018-11-04 06:34:18,"1683TH",14,NA,NA,0
2018-11-04 06:34:23,"1683TH",14,NA,NA,0
2018-11-04 06:35:56,"1683TH",14,NA,NA,0
2018-11-04 06:36:04,"1683TH",14,NA,NA,0
2018-11-04 06:36:07,"1683TH",14,NA,NA,0
2018-11-04 06:36:30,"1683TH",14,NA,NA,0
2018-11-04 06:36:32,"1683TH",14,NA,NA,0
2018-11-04 06:38:01,"1678TH",14,NA,NA,0
2018-11-04 06:40:44,"1687TH",14,NA,NA,0
2018-11-04 06:43:00,"1678TH",14,NA,NA,0
2018-11-04 06:45:13,"1675TH",1,NA,NA,0
2018-11-04 06:45:31,"1675TH",27,NA,NA,0
2018-11-04 06:45:31,"1675TH",25,NA,NA,0
2018-11-04 06:45:31,"1675TH",28,NA,NA,0
2018-11-04 06:45:31,"1675TH",24,NA,NA,0
2018-11-04 06:46:11,"1674TH",1,NA,NA,0
2018-11-04 06:46:31,"1674TH",25,NA,NA,0
2018-11-04 06:46:31,"1674TH",24,NA,NA,0
2018-11-04 06:46:31,"1672TH",14,NA,NA,0
2018-11-04 06:46:31,"1674TH",27,NA,NA,0
2018-11-04 06:46:31,"1674TH",28,NA,NA,0
2018-11-04 06:46:37,"1672TH",14,NA,NA,0
2018-11-04 06:47:01,"1672TH",14,NA,NA,0
2018-11-04 06:47:09,"1687TH",14,NA,NA,0
2018-11-04 06:47:15,"1687TH",14,NA,NA,0
2018-11-04 06:47:19,"1687TH",14,NA,NA,0
2018-11-04 06:49:17,"1678TH",14,NA,NA,0
2018-11-04 06:49:18,"1678TH",14,NA,NA,0
2018-11-04 06:49:19,"1678TH",14,NA,NA,0
2018-11-04 06:49:24,"1678TH",14,NA,NA,0
2018-11-04 06:49:33,"1678TH",14,NA,NA,0
2018-11-04 06:49:35,"1678TH",14,NA,NA,0
2018-11-04 06:51:38,"1678TH",14,NA,NA,0
2018-11-04 06:51:42,"1678TH",14,NA,NA,0
2018-11-04 06:51:55,"1678TH",14,NA,NA,0
2018-11-04 06:52:03,"1678TH",14,NA,NA,0
2018-11-04 06:52:06,"1678TH",14,NA,NA,0
2018-11-04 06:54:25,"1687TH",14,NA,NA,0
2018-11-04 06:59:27,"1672TH",14,NA,NA,0
2018-11-04 07:02:27,"1672TH",14,NA,NA,0
2018-11-04 07:06:29,"1683TH",14,NA,NA,0
2018-11-04 07:12:13,"1675TH",14,NA,NA,0
2018-11-04 07:12:18,"1675TH",14,NA,NA,0
2018-11-04 07:12:23,"1675TH",14,NA,NA,0
2018-11-04 07:12:27,"1675TH",14,NA,NA,0
2018-11-04 07:15:51,"1683TH",14,NA,NA,0
2018-11-04 07:17:27,"1672TH",14,NA,NA,0
2018-11-04 07:21:57,"1672TH",14,NA,NA,0
2018-11-04 07:22:10,"1672TH",14,NA,NA,0
2018-11-04 07:27:50,"1672TH",14,NA,NA,0
2018-11-04 07:28:12,"1674TH",14,NA,NA,0
2018-11-04 07:30:35,"1672TH",14,NA,NA,0
2018-11-04 07:30:35,"1674TH",14,NA,NA,0
2018-11-04 07:30:40,"1674TH",14,NA,NA,0
2018-11-04 07:31:31,"1675TH",14,NA,NA,0
2018-11-04 07:32:18,"1672TH",14,NA,NA,0
2018-11-04 07:32:25,"1672TH",14,NA,NA,0
2018-11-04 07:32:30,"1672TH",14,NA,NA,0
2018-11-04 07:32:55,"1678TH",14,NA,NA,0
