"vehicle","chunk","direction","stop_id","fraction","start_datetime","transactions","group"
"2033",0,0,1346,0.99095764150352,2019-01-18 20:59:13,8,"H3-2033-0"
"2033",1,0,1345,0.948552549187855,2019-01-18 21:00:42,1,"H3-2033-1"
"2033",2,0,1322,0.0236101992098971,2019-01-18 21:01:48,0,"H3-2033-2"
"2033",3,0,1323,0.0732633721483541,2019-01-18 21:05:07,11,"H3-2033-2"
"2033",4,0,1324,0.111254142363532,2019-01-18 21:07:09,7,"H3-2033-2"
"2033",5,0,1325,0.147708682899042,2019-01-18 21:08:43,2,"H3-2033-2"
"2033",6,0,1326,0.207657331146133,2019-01-18 21:12:15,2,"H3-2033-2"
"2033",7,0,1327,0.238394164073839,2019-01-18 21:13:43,1,"H3-2033-2"
"2033",8,0,1328,0.269455563889602,2019-01-18 21:15:10,3,"H3-2033-2"
"2033",9,0,1329,0.307681073685823,2019-01-18 21:16:30,4,"H3-2033-2"
"2033",10,0,1330,0.333793909001545,2019-01-18 21:17:33,1,"H3-2033-2"
"2033",11,0,1331,0.378312659576298,2019-01-18 21:19:46,0,"H3-2033-2"
"2033",12,0,1332,0.421026903541387,2019-01-18 21:22:01,1,"H3-2033-2"
"2033",13,0,1333,0.465145792515161,2019-01-18 21:24:38,0,"H3-2033-2"
"2033",14,0,1334,0.493700174785511,2019-01-18 21:26:02,0,"H3-2033-2"
"2033",15,0,1335,0.535692328551945,2019-01-18 21:28:30,0,"H3-2033-2"
"2033",16,0,1336,0.549650456067745,2019-01-18 21:29:36,0,"H3-2033-2"
"2033",17,0,1337,0.615232434619176,2019-01-18 21:32:13,0,"H3-2033-2"
"1046",0,0,1346,0.99095764150352,2019-01-18 21:32:56,6,"H3-1046-0"
"1046",1,0,1345,0.948552549187855,2019-01-18 21:33:06,0,"H3-1046-1"
"2033",18,0,1338,0.65950080120737,2019-01-18 21:34:24,0,"H3-2033-2"
"1046",2,0,1322,0.0236101992098971,2019-01-18 21:34:31,0,"H3-1046-2"
