"vehicle","chunk","start_datetime","end_datetime"
"077",0,2019-01-06 10:39:22,2019-01-06 10:52:51
"079",0,2019-01-06 07:48:42,2019-01-06 12:11:52
"079",1,2019-01-06 12:29:40,2019-01-06 12:30:10
"079",2,2019-01-06 12:45:53,2019-01-06 18:37:33
"079",3,2019-01-06 18:43:49,2019-01-06 18:50:18
"079",4,2019-01-07 00:00:21,2019-01-07 00:00:21
"082",0,2019-01-06 06:20:40,2019-01-06 06:20:49
"082",1,2019-01-06 06:29:40,2019-01-06 06:31:53
"082",2,2019-01-06 07:05:19,2019-01-06 12:42:38
"082",3,2019-01-06 13:10:55,2019-01-06 13:31:01
"082",4,2019-01-06 14:01:01,2019-01-06 14:15:22
"082",5,2019-01-06 14:59:33,2019-01-06 15:00:16
"082",6,2019-01-06 20:39:24,2019-01-06 20:41:23
"083",0,2019-01-06 07:13:27,2019-01-06 07:15:03
"083",1,2019-01-06 10:17:56,2019-01-06 10:33:35
"083",2,2019-01-06 11:18:05,2019-01-06 12:47:48
"083",3,2019-01-06 12:54:26,2019-01-06 21:15:06
"083",4,2019-01-06 22:23:33,2019-01-06 23:03:59
"083",5,2019-01-07 00:00:00,2019-01-07 00:00:00
"085",0,2019-01-06 08:00:00,2019-01-06 10:38:26
"085",1,2019-01-06 12:31:25,2019-01-06 12:40:06
"085",2,2019-01-06 12:49:34,2019-01-06 13:07:18
"086",0,2019-01-06 07:19:39,2019-01-06 07:20:44
"086",1,2019-01-06 07:36:28,2019-01-06 11:47:47
"086",2,2019-01-06 12:23:52,2019-01-06 21:39:59
"086",3,2019-01-06 21:50:06,2019-01-06 21:51:33
"086",4,2019-01-06 21:58:28,2019-01-06 21:58:47
"086",5,2019-01-07 00:02:42,2019-01-07 00:02:42
"087",0,2019-01-06 07:09:03,2019-01-06 07:09:13
"087",1,2019-01-06 07:17:22,2019-01-06 15:57:37
"087",2,2019-01-06 16:06:29,2019-01-06 16:07:01
"088",0,2019-01-06 08:13:17,2019-01-06 08:14:22
"088",1,2019-01-06 08:31:22,2019-01-06 08:33:39
"088",2,2019-01-06 10:26:08,2019-01-06 10:28:11
"098",0,2019-01-06 18:22:04,2019-01-06 18:22:13
"1006",0,2019-01-06 07:21:47,2019-01-06 07:22:07
"1006",1,2019-01-06 07:34:58,2019-01-06 10:34:06
"1006",2,2019-01-06 10:39:46,2019-01-06 12:04:49
"1006",3,2019-01-06 12:56:49,2019-01-06 14:24:44
"1006",4,2019-01-06 14:30:05,2019-01-06 14:58:47
"1006",5,2019-01-06 15:04:17,2019-01-06 15:21:06
"1006",6,2019-01-06 15:58:09,2019-01-06 16:39:32
"1006",7,2019-01-06 16:46:42,2019-01-06 18:09:16
