"vehicle","chunk","start_datetime","end_datetime"
"077",0,2018-11-10 23:18:59,2018-11-10 23:18:59
"077",1,2018-11-10 23:45:44,2018-11-10 23:45:53
"077",2,2018-11-11 00:02:39,2018-11-11 00:02:39
"077",3,2018-11-11 00:30:16,2018-11-11 00:30:26
"077",4,2018-11-11 00:56:48,2018-11-11 00:57:01
"079",0,2018-11-10 07:49:34,2018-11-10 07:50:04
"079",1,2018-11-10 08:02:14,2018-11-10 08:03:14
"079",2,2018-11-10 08:11:59,2018-11-10 11:40:00
"079",3,2018-11-10 12:16:21,2018-11-10 14:59:47
"079",4,2018-11-10 15:05:04,2018-11-10 17:56:16
"079",5,2018-11-10 18:58:35,2018-11-10 19:01:14
"079",6,2018-11-11 00:00:17,2018-11-11 00:00:17
"082",0,2018-11-10 07:39:18,2018-11-10 12:01:35
"082",1,2018-11-10 12:54:20,2018-11-10 14:23:33
"082",2,2018-11-10 14:28:41,2018-11-10 14:36:23
"082",3,2018-11-10 16:04:14,2018-11-10 16:38:30
"082",4,2018-11-10 16:45:51,2018-11-10 17:25:56
"082",5,2018-11-10 17:31:46,2018-11-10 18:06:52
"082",6,2018-11-10 18:29:33,2018-11-10 18:34:02
"084",0,2018-11-10 05:24:46,2018-11-10 05:24:46
"084",1,2018-11-10 05:46:56,2018-11-10 06:36:27
"084",2,2018-11-10 06:42:06,2018-11-10 08:20:58
"084",3,2018-11-10 08:26:08,2018-11-10 10:03:21
"084",4,2018-11-10 10:36:22,2018-11-10 13:13:20
"084",5,2018-11-10 13:33:50,2018-11-10 13:35:00
"086",0,2018-11-11 00:45:02,2018-11-11 00:45:02
"087",0,2018-11-10 06:15:31,2018-11-10 07:00:01
"087",1,2018-11-10 07:05:08,2018-11-10 14:09:49
"088",0,2018-11-10 06:40:48,2018-11-10 06:40:48
"088",1,2018-11-10 06:54:19,2018-11-10 07:43:35
"088",2,2018-11-10 07:49:05,2018-11-10 09:27:16
"088",3,2018-11-10 09:32:25,2018-11-10 11:07:28
"088",4,2018-11-10 12:29:39,2018-11-10 21:01:47
"088",5,2018-11-11 00:00:18,2018-11-11 00:00:18
"098",0,2018-11-10 07:51:34,2018-11-10 07:51:44
"098",1,2018-11-10 07:57:54,2018-11-10 08:42:37
"098",2,2018-11-10 08:48:02,2018-11-10 10:22:29
"098",3,2018-11-10 10:28:29,2018-11-10 13:42:41
"098",4,2018-11-10 13:47:51,2018-11-10 15:26:43
"098",5,2018-11-10 15:32:13,2018-11-10 21:19:03
"098",6,2018-11-10 21:45:19,2018-11-10 21:45:29
"098",7,2018-11-10 22:27:02,2018-11-10 22:27:12
"098",8,2018-11-10 22:32:37,2018-11-10 22:34:20
"098",9,2018-11-11 00:00:21,2018-11-11 00:00:21
"1006",0,2018-11-10 07:11:34,2018-11-10 09:47:20
"1006",1,2018-11-10 10:21:20,2018-11-10 17:04:10
"1006",2,2018-11-10 17:38:40,2018-11-10 20:37:28
"1006",3,2018-11-10 20:43:06,2018-11-10 20:43:16
"1006",4,2018-11-10 22:00:46,2018-11-10 22:01:06
"1006",5,2018-11-10 22:07:00,2018-11-10 22:08:28
"1006",6,2018-11-11 00:00:09,2018-11-11 00:00:09
"1017",0,2018-11-10 08:39:14,2018-11-10 08:39:58
"1017",1,2018-11-10 11:07:30,2018-11-10 11:09:37
"1028",0,2018-11-10 06:09:01,2018-11-10 08:43:13
"1028",1,2018-11-10 09:13:23,2018-11-10 20:21:46
"1028",2,2018-11-11 00:01:48,2018-11-11 00:01:48
"1028",3,2018-11-11 00:57:14,2018-11-11 01:51:07
"1045",0,2018-11-10 06:51:27,2018-11-10 08:47:54
"1045",1,2018-11-10 08:56:43,2018-11-10 10:49:29
"1045",2,2018-11-10 10:55:12,2018-11-10 17:30:14
"1045",3,2018-11-10 18:18:34,2018-11-10 20:55:13
"1045",4,2018-11-10 21:01:30,2018-11-10 21:50:23
"1045",5,2018-11-10 21:58:13,2018-11-10 22:49:41
"1045",6,2018-11-10 23:00:38,2018-11-10 23:20:15
"1045",7,2018-11-11 00:00:05,2018-11-11 00:00:05
