"vehicle","chunk","start_datetime","end_datetime"
"077",0,2019-01-03 06:40:45,2019-01-03 07:21:22
"077",1,2019-01-03 07:30:54,2019-01-03 10:21:54
"077",2,2019-01-03 14:34:15,2019-01-03 14:34:24
"077",3,2019-01-03 18:12:28,2019-01-03 18:12:47
"077",4,2019-01-03 19:50:11,2019-01-03 19:52:39
"077",5,2019-01-03 21:02:38,2019-01-03 21:02:39
"077",6,2019-01-03 21:08:19,2019-01-03 21:09:33
"078",0,2019-01-03 06:00:49,2019-01-03 06:00:49
"078",1,2019-01-03 07:11:04,2019-01-03 10:04:24
"078",2,2019-01-03 10:41:12,2019-01-03 10:53:38
"078",3,2019-01-03 13:42:31,2019-01-03 19:06:53
"078",4,2019-01-03 19:14:18,2019-01-03 19:20:11
"078",5,2019-01-03 19:40:41,2019-01-03 19:52:40
"079",0,2019-01-03 05:59:07,2019-01-03 06:00:37
"079",1,2019-01-03 06:07:05,2019-01-03 09:31:27
"079",2,2019-01-03 13:09:17,2019-01-03 13:11:36
"079",3,2019-01-03 15:00:37,2019-01-03 20:19:09
"079",4,2019-01-03 20:29:40,2019-01-03 20:33:26
"079",5,2019-01-03 20:52:04,2019-01-03 20:52:49
"079",6,2019-01-03 22:01:19,2019-01-03 22:01:49
"079",7,2019-01-03 23:22:38,2019-01-03 23:23:16
"079",8,2019-01-03 23:48:11,2019-01-03 23:48:41
"079",9,2019-01-04 00:00:11,2019-01-04 00:00:11
"079",10,2019-01-04 02:35:04,2019-01-04 02:40:23
"082",0,2019-01-03 05:55:58,2019-01-03 05:55:58
"082",1,2019-01-03 06:03:15,2019-01-03 06:03:24
"082",2,2019-01-03 06:18:15,2019-01-03 06:21:45
"082",3,2019-01-03 06:34:34,2019-01-03 10:45:25
"082",4,2019-01-03 10:50:44,2019-01-03 13:01:19
"082",5,2019-01-03 13:24:44,2019-01-03 21:07:31
"082",6,2019-01-03 21:15:11,2019-01-03 21:21:18
"082",7,2019-01-04 00:00:20,2019-01-04 00:00:20
"083",0,2019-01-03 06:57:36,2019-01-03 12:18:07
"083",1,2019-01-03 12:23:37,2019-01-03 13:56:13
"083",2,2019-01-03 14:02:43,2019-01-03 18:04:54
"083",3,2019-01-03 21:04:20,2019-01-03 21:05:48
"083",4,2019-01-04 00:02:49,2019-01-04 00:02:49
"084",0,2019-01-03 05:14:04,2019-01-03 05:14:04
"084",1,2019-01-03 05:45:54,2019-01-03 09:20:50
"084",2,2019-01-03 09:43:58,2019-01-03 09:44:08
"084",3,2019-01-03 10:35:17,2019-01-03 10:35:26
"084",4,2019-01-03 10:41:41,2019-01-03 10:44:35
"084",5,2019-01-03 13:49:24,2019-01-03 13:50:23
"084",6,2019-01-03 14:07:13,2019-01-03 14:07:52
"084",7,2019-01-03 14:14:53,2019-01-03 18:05:16
"084",8,2019-01-03 18:12:14,2019-01-03 19:33:43
"085",0,2019-01-03 09:25:17,2019-01-03 09:31:23
